frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-0.65,-2.65,-0.63,-2.65,2.65,1.78,-0.11,2.00,2.02,2.00
20.20,-0.54,-2.56,-0.54,-2.54,2.54,1.80,-0.11,2.00,2.01,2.02
20.40,-0.44,-2.44,-0.44,-2.44,2.44,1.79,-0.11,2.00,2.00,2.00
20.61,-0.33,-2.33,-0.35,-2.33,2.33,1.78,-0.11,2.00,1.99,1.99
20.81,-0.23,-2.21,-0.26,-2.23,2.23,1.75,-0.11,2.00,1.98,1.98
21.02,-0.12,-2.08,-0.17,-2.13,2.13,1.72,-0.11,2.01,1.97,1.96
21.23,-0.06,-2.01,-0.08,-2.03,2.03,1.67,-0.11,1.97,1.96,1.95
21.44,0.01,-1.92,0.01,-1.93,1.93,1.61,-0.11,1.94,1.95,1.93
21.66,0.08,-1.85,0.10,-1.84,1.84,1.55,-0.12,1.91,1.94,1.92
21.87,0.14,-1.77,0.18,-1.74,1.74,1.49,-0.12,1.88,1.93,1.91
22.09,0.22,-1.70,0.27,-1.65,1.65,1.42,-0.12,1.86,1.91,1.92
22.31,0.33,-1.59,0.35,-1.55,1.55,1.36,-0.12,1.88,1.90,1.92
22.54,0.43,-1.48,0.44,-1.46,1.46,1.29,-0.12,1.88,1.89,1.90
22.76,0.53,-1.35,0.52,-1.36,1.36,1.22,-0.12,1.89,1.88,1.88
22.99,0.64,-1.22,0.60,-1.27,1.27,1.16,-0.12,1.91,1.87,1.86
23.22,0.70,-1.17,0.68,-1.18,1.18,1.10,-0.12,1.88,1.87,1.87
23.45,0.77,-1.07,0.76,-1.09,1.09,1.04,-0.13,1.86,1.86,1.84
23.69,0.84,-1.01,0.84,-1.00,1.00,0.98,-0.13,1.84,1.85,1.84
23.92,0.91,-0.94,0.92,-0.92,0.92,0.93,-0.13,1.83,1.84,1.85
24.16,0.98,-0.84,0.99,-0.84,0.84,0.88,-0.13,1.82,1.83,1.82
24.40,1.05,-0.77,1.05,-0.77,0.77,0.83,-0.13,1.82,1.82,1.82
24.65,1.12,-0.68,1.10,-0.70,0.70,0.79,-0.13,1.82,1.81,1.80
24.89,1.19,-0.59,1.15,-0.65,0.65,0.75,-0.13,1.83,1.80,1.78
25.14,1.24,-0.55,1.19,-0.59,0.59,0.71,-0.13,1.83,1.79,1.79
25.39,1.26,-0.51,1.23,-0.55,0.55,0.67,-0.13,1.80,1.78,1.77
25.65,1.29,-0.49,1.27,-0.50,0.50,0.64,-0.14,1.79,1.77,1.78
25.91,1.32,-0.43,1.31,-0.45,0.45,0.61,-0.14,1.77,1.76,1.74
26.16,1.35,-0.40,1.35,-0.40,0.40,0.58,-0.14,1.75,1.75,1.75
26.43,1.38,-0.35,1.40,-0.34,0.34,0.55,-0.14,1.72,1.74,1.73
26.69,1.41,-0.34,1.45,-0.28,0.28,0.53,-0.14,1.68,1.73,1.75
26.96,1.44,-0.26,1.51,-0.21,0.21,0.50,-0.14,1.64,1.72,1.70
27.23,1.50,-0.22,1.57,-0.13,0.13,0.48,-0.14,1.63,1.70,1.72
27.50,1.57,-0.10,1.64,-0.06,0.06,0.46,-0.15,1.62,1.69,1.67
27.77,1.63,-0.06,1.71,0.02,-0.02,0.44,-0.15,1.61,1.68,1.69
28.05,1.71,0.07,1.77,0.10,-0.10,0.42,-0.15,1.61,1.67,1.64
28.33,1.83,0.16,1.82,0.16,-0.16,0.40,-0.15,1.67,1.66,1.67
28.62,1.96,0.31,1.87,0.23,-0.23,0.39,-0.15,1.73,1.65,1.64
28.90,2.08,0.44,1.92,0.29,-0.29,0.37,-0.15,1.79,1.63,1.64
29.19,2.11,0.50,1.96,0.34,-0.34,0.36,-0.16,1.77,1.62,1.61
29.48,2.10,0.48,2.00,0.40,-0.40,0.35,-0.16,1.70,1.61,1.62
29.78,2.09,0.51,2.04,0.45,-0.45,0.33,-0.16,1.64,1.59,1.58
30.08,2.07,0.49,2.06,0.49,-0.49,0.32,-0.16,1.58,1.58,1.58
30.38,2.03,0.46,2.09,0.52,-0.52,0.31,-0.16,1.51,1.56,1.57
30.68,2.00,0.46,2.10,0.55,-0.55,0.30,-0.17,1.45,1.55,1.54
30.99,1.96,0.42,2.11,0.58,-0.58,0.29,-0.17,1.38,1.53,1.54
31.30,2.03,0.50,2.12,0.60,-0.60,0.28,-0.17,1.43,1.52,1.52
31.61,2.09,0.61,2.12,0.61,-0.61,0.27,-0.18,1.47,1.50,1.48
31.93,2.16,0.67,2.11,0.63,-0.63,0.27,-0.18,1.53,1.48,1.49
32.24,2.18,0.72,2.11,0.64,-0.64,0.26,-0.18,1.54,1.47,1.46
32.57,2.18,0.75,2.12,0.67,-0.67,0.25,-0.19,1.51,1.45,1.43
32.89,2.18,0.74,2.13,0.70,-0.70,0.25,-0.19,1.48,1.43,1.44
33.22,2.18,0.75,2.14,0.73,-0.73,0.24,-0.19,1.45,1.42,1.43
33.55,2.18,0.80,2.16,0.76,-0.76,0.23,-0.20,1.42,1.40,1.38
33.89,2.18,0.78,2.18,0.80,-0.80,0.23,-0.20,1.38,1.38,1.40
34.23,2.16,0.79,2.19,0.82,-0.82,0.22,-0.21,1.33,1.37,1.37
34.57,2.14,0.82,2.20,0.85,-0.85,0.22,-0.22,1.29,1.35,1.32
34.92,2.12,0.77,2.20,0.87,-0.87,0.21,-0.22,1.25,1.33,1.35
35.27,2.16,0.85,2.21,0.89,-0.89,0.21,-0.23,1.27,1.32,1.30
35.62,2.22,0.93,2.22,0.91,-0.91,0.20,-0.24,1.30,1.30,1.29
35.97,2.28,0.98,2.23,0.94,-0.94,0.20,-0.24,1.34,1.29,1.30
36.33,2.28,0.99,2.24,0.96,-0.96,0.20,-0.25,1.32,1.27,1.29
36.70,2.28,1.04,2.25,0.98,-0.98,0.19,-0.26,1.29,1.26,1.24
37.06,2.28,1.03,2.26,1.01,-1.01,0.19,-0.27,1.27,1.25,1.25
37.43,2.28,1.04,2.27,1.03,-1.03,0.19,-0.28,1.25,1.24,1.24
37.81,2.28,1.05,2.28,1.05,-1.05,0.19,-0.28,1.23,1.23,1.23
38.19,2.28,1.09,2.28,1.06,-1.06,0.18,-0.29,1.21,1.22,1.19
38.57,2.28,1.05,2.29,1.08,-1.08,0.18,-0.30,1.20,1.21,1.23
38.95,2.28,1.10,2.29,1.09,-1.09,0.18,-0.32,1.19,1.20,1.18
39.34,2.28,1.11,2.28,1.09,-1.09,0.18,-0.33,1.19,1.19,1.17
39.74,2.28,1.06,2.28,1.10,-1.10,0.17,-0.34,1.18,1.18,1.22
40.14,2.28,1.10,2.29,1.12,-1.12,0.17,-0.35,1.16,1.17,1.18
40.54,2.28,1.11,2.30,1.13,-1.13,0.17,-0.36,1.15,1.17,1.17
40.94,2.28,1.15,2.30,1.14,-1.14,0.17,-0.37,1.14,1.16,1.13
41.35,2.28,1.13,2.29,1.15,-1.15,0.17,-0.39,1.13,1.15,1.15
41.76,2.28,1.12,2.28,1.15,-1.15,0.17,-0.40,1.13,1.14,1.16
42.18,2.28,1.14,2.27,1.15,-1.15,0.17,-0.42,1.13,1.13,1.14
