frequency,raw,error,smoothed,error_smoothed,equalization,equalized_raw,equalized_smoothed,target
20.00,-0.65,-6.48,-0.63,-6.47,6.47,5.82,5.84,5.82
20.20,-0.54,-6.39,-0.54,-6.36,6.36,5.82,5.83,5.84
20.40,-0.44,-6.26,-0.44,-6.26,6.26,5.82,5.82,5.82
20.61,-0.33,-6.15,-0.35,-6.16,6.16,5.82,5.81,5.81
20.81,-0.23,-6.03,-0.26,-6.05,6.05,5.82,5.80,5.80
21.02,-0.12,-5.90,-0.17,-5.95,5.95,5.83,5.79,5.78
21.23,-0.06,-5.83,-0.08,-5.85,5.85,5.79,5.78,5.77
21.44,0.01,-5.74,0.01,-5.75,5.75,5.76,5.77,5.75
21.66,0.08,-5.67,0.10,-5.66,5.66,5.73,5.76,5.74
21.87,0.14,-5.59,0.18,-5.56,5.56,5.70,5.74,5.73
22.09,0.22,-5.52,0.27,-5.46,5.46,5.68,5.73,5.74
22.31,0.33,-5.41,0.35,-5.37,5.37,5.70,5.72,5.74
22.54,0.43,-5.29,0.44,-5.28,5.28,5.70,5.71,5.72
22.76,0.53,-5.17,0.52,-5.18,5.18,5.71,5.70,5.70
22.99,0.64,-5.04,0.60,-5.09,5.09,5.73,5.69,5.68
23.22,0.70,-4.99,0.68,-5.00,5.00,5.70,5.68,5.69
23.45,0.77,-4.89,0.76,-4.91,4.91,5.68,5.67,5.66
23.69,0.84,-4.82,0.84,-4.82,4.82,5.66,5.66,5.66
23.92,0.91,-4.76,0.92,-4.73,4.73,5.64,5.65,5.67
24.16,0.98,-4.66,0.99,-4.66,4.66,5.63,5.64,5.64
24.40,1.05,-4.59,1.05,-4.58,4.58,5.63,5.63,5.64
24.65,1.12,-4.50,1.10,-4.52,4.52,5.64,5.62,5.62
24.89,1.19,-4.41,1.15,-4.46,4.46,5.65,5.61,5.60
25.14,1.24,-4.37,1.19,-4.41,4.41,5.65,5.60,5.61
25.39,1.26,-4.33,1.23,-4.36,4.36,5.62,5.59,5.59
25.65,1.29,-4.31,1.27,-4.31,4.31,5.60,5.58,5.60
25.91,1.32,-4.24,1.31,-4.27,4.27,5.58,5.57,5.56
26.16,1.35,-4.22,1.35,-4.21,4.21,5.56,5.56,5.56
26.43,1.38,-4.17,1.40,-4.15,4.15,5.53,5.55,5.54
26.69,1.41,-4.15,1.45,-4.09,4.09,5.49,5.54,5.56
26.96,1.44,-4.08,1.51,-4.02,4.02,5.45,5.53,5.51
27.23,1.50,-4.03,1.57,-3.94,3.94,5.44,5.51,5.53
27.50,1.57,-3.91,1.64,-3.86,3.86,5.43,5.50,5.48
27.77,1.63,-3.87,1.71,-3.78,3.78,5.41,5.49,5.50
28.05,1.71,-3.74,1.77,-3.71,3.71,5.42,5.48,5.45
28.33,1.83,-3.65,1.82,-3.64,3.64,5.47,5.47,5.48
28.62,1.96,-3.49,1.87,-3.58,3.58,5.53,5.45,5.45
28.90,2.08,-3.37,1.92,-3.52,3.52,5.60,5.44,5.45
29.19,2.11,-3.31,1.96,-3.46,3.46,5.57,5.43,5.42
29.48,2.10,-3.33,2.00,-3.41,3.41,5.51,5.41,5.43
29.78,2.09,-3.30,2.04,-3.36,3.36,5.44,5.39,5.38
30.08,2.07,-3.31,2.06,-3.32,3.32,5.38,5.38,5.38
30.38,2.03,-3.34,2.09,-3.28,3.28,5.31,5.36,5.37
30.68,2.00,-3.34,2.10,-3.25,3.25,5.25,5.35,5.34
30.99,1.96,-3.38,2.11,-3.22,3.22,5.18,5.33,5.34
31.30,2.03,-3.29,2.12,-3.20,3.20,5.22,5.31,5.32
31.61,2.09,-3.19,2.12,-3.18,3.18,5.27,5.30,5.28
31.93,2.16,-3.13,2.11,-3.17,3.17,5.32,5.28,5.29
32.24,2.18,-3.08,2.11,-3.15,3.15,5.33,5.26,5.25
32.57,2.18,-3.05,2.12,-3.12,3.12,5.30,5.24,5.22
32.89,2.18,-3.05,2.13,-3.09,3.09,5.27,5.22,5.23
33.22,2.18,-3.04,2.14,-3.06,3.06,5.24,5.20,5.22
33.55,2.18,-2.99,2.16,-3.02,3.02,5.20,5.18,5.17
33.89,2.18,-3.01,2.18,-2.99,2.99,5.17,5.17,5.19
34.23,2.16,-3.00,2.19,-2.96,2.96,5.12,5.15,5.16
34.57,2.14,-2.97,2.20,-2.93,2.93,5.07,5.13,5.10
