frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.29,1.76,-3.29,1.74,-1.82,-3.42,-2.58,-5.10,-5.11,-5.04
20.20,-3.26,1.93,-3.25,1.95,-1.96,-3.49,-2.66,-5.22,-5.21,-5.18
20.40,-3.20,2.12,-3.20,2.14,-2.12,-3.57,-2.74,-5.32,-5.31,-5.33
20.61,-3.16,2.34,-3.15,2.33,-2.27,-3.64,-2.82,-5.43,-5.42,-5.50
20.81,-3.07,2.52,-3.09,2.50,-2.44,-3.72,-2.90,-5.52,-5.53,-5.59
21.02,-3.03,2.66,-3.03,2.66,-2.62,-3.80,-2.99,-5.64,-5.64,-5.69
21.23,-2.98,2.80,-2.97,2.82,-2.80,-3.88,-3.07,-5.77,-5.77,-5.77
21.44,-2.92,2.99,-2.93,2.98,-2.99,-3.96,-3.16,-5.91,-5.91,-5.91
21.66,-2.88,3.17,-2.88,3.16,-3.17,-4.04,-3.26,-6.04,-6.05,-6.04
21.87,-2.84,3.34,-2.84,3.35,-3.36,-4.12,-3.35,-6.21,-6.20,-6.18
22.09,-2.79,3.55,-2.80,3.54,-3.57,-4.21,-3.45,-6.37,-6.37,-6.34
22.31,-2.74,3.76,-2.75,3.78,-3.81,-4.29,-3.55,-6.55,-6.56,-6.51
22.54,-2.72,4.03,-2.71,4.03,-4.06,-4.37,-3.66,-6.78,-6.77,-6.75
22.76,-2.66,4.32,-2.66,4.31,-4.33,-4.46,-3.76,-6.98,-6.99,-6.98
22.99,-2.63,4.58,-2.62,4.59,-4.60,-4.55,-3.87,-7.22,-7.22,-7.20
23.22,-2.58,4.87,-2.57,4.88,-4.87,-4.63,-3.98,-7.45,-7.44,-7.45
23.45,-2.53,5.16,-2.53,5.15,-5.13,-4.72,-4.10,-7.66,-7.66,-7.69
23.69,-2.48,5.41,-2.48,5.41,-5.38,-4.80,-4.21,-7.86,-7.86,-7.89
23.92,-2.44,5.64,-2.44,5.64,-5.61,-4.89,-4.33,-8.05,-8.05,-8.08
24.16,-2.41,5.82,-2.41,5.82,-5.81,-4.98,-4.45,-8.22,-8.22,-8.24
24.40,-2.37,5.98,-2.37,5.98,-5.98,-5.06,-4.57,-8.35,-8.35,-8.34
24.65,-2.35,6.10,-2.34,6.11,-6.12,-5.15,-4.70,-8.47,-8.46,-8.45
24.89,-2.31,6.24,-2.31,6.23,-6.24,-5.23,-4.83,-8.55,-8.55,-8.55
25.14,-2.29,6.33,-2.29,6.33,-6.33,-5.32,-4.95,-8.62,-8.62,-8.62
25.39,-2.27,6.40,-2.27,6.40,-6.39,-5.40,-5.08,-8.66,-8.66,-8.67
25.65,-2.26,6.43,-2.25,6.44,-6.43,-5.48,-5.21,-8.68,-8.67,-8.68
25.91,-2.22,6.46,-2.22,6.45,-6.44,-5.56,-5.34,-8.65,-8.66,-8.67
26.16,-2.20,6.43,-2.20,6.43,-6.42,-5.64,-5.47,-8.61,-8.62,-8.63
26.43,-2.18,6.39,-2.17,6.40,-6.38,-5.71,-5.60,-8.56,-8.55,-8.56
26.69,-2.14,6.35,-2.14,6.33,-6.33,-5.78,-5.73,-8.46,-8.47,-8.49
26.96,-2.12,6.25,-2.11,6.26,-6.26,-5.85,-5.85,-8.37,-8.37,-8.37
27.23,-2.09,6.15,-2.08,6.17,-6.18,-5.92,-5.98,-8.27,-8.26,-8.23
27.50,-2.05,6.09,-2.05,6.08,-6.10,-5.99,-6.10,-8.15,-8.15,-8.14
27.77,-2.02,6.01,-2.02,6.01,-6.02,-6.05,-6.21,-8.04,-8.04,-8.02
28.05,-2.01,5.94,-1.99,5.94,-5.95,-6.10,-6.33,-7.95,-7.94,-7.94
28.33,-1.96,5.89,-1.97,5.88,-5.88,-6.15,-6.43,-7.84,-7.85,-7.85
28.62,-1.96,5.81,-1.94,5.83,-5.82,-6.20,-6.53,-7.78,-7.77,-7.77
28.90,-1.92,5.79,-1.92,5.78,-5.78,-6.25,-6.62,-7.70,-7.71,-7.70
29.19,-1.92,5.75,-1.92,5.74,-5.75,-6.28,-6.71,-7.67,-7.67,-7.67
29.48,-1.92,5.72,-1.91,5.73,-5.74,-6.32,-6.78,-7.65,-7.65,-7.63
29.78,-1.92,5.71,-1.90,5.72,-5.73,-6.35,-6.84,-7.65,-7.64,-7.62
30.08,-1.88,5.74,-1.89,5.73,-5.74,-6.37,-6.90,-7.62,-7.63,-7.62
30.38,-1.88,5.76,-1.87,5.76,-5.76,-6.39,-6.94,-7.63,-7.63,-7.63
30.68,-1.87,5.77,-1.85,5.79,-5.78,-6.40,-6.97,-7.65,-7.64,-7.64
30.99,-1.83,5.84,-1.84,5.82,-5.82,-6.40,-6.99,-7.64,-7.66,-7.67
31.30,-1.83,5.86,-1.83,5.86,-5.85,-6.40,-7.00,-7.68,-7.68,-7.68
31.61,-1.83,5.88,-1.82,5.89,-5.89,-6.40,-7.00,-7.71,-7.71,-7.71
31.93,-1.83,5.92,-1.83,5.92,-5.92,-6.39,-6.98,-7.75,-7.75,-7.75
