frequency,raw,error,smoothed,error_smoothed,equalization,equalized_raw,equalized_smoothed,target
20.00,-3.29,0.35,-3.29,0.33,-0.41,-3.69,-3.70,-3.63
20.20,-3.26,0.52,-3.25,0.54,-0.56,-3.81,-3.80,-3.77
20.40,-3.20,0.72,-3.20,0.74,-0.71,-3.92,-3.91,-3.93
20.61,-3.16,0.94,-3.15,0.93,-0.87,-4.03,-4.02,-4.10
20.81,-3.07,1.12,-3.09,1.11,-1.05,-4.12,-4.13,-4.20
21.02,-3.03,1.27,-3.03,1.27,-1.22,-4.25,-4.25,-4.29
21.23,-2.98,1.41,-2.97,1.43,-1.41,-4.38,-4.38,-4.38
21.44,-2.92,1.60,-2.93,1.59,-1.60,-4.53,-4.53,-4.53
21.66,-2.88,1.79,-2.88,1.78,-1.79,-4.66,-4.67,-4.66
21.87,-2.84,1.96,-2.84,1.97,-1.98,-4.83,-4.82,-4.81
22.09,-2.79,2.17,-2.80,2.17,-2.20,-4.99,-5.00,-4.97
22.31,-2.74,2.39,-2.75,2.41,-2.44,-5.18,-5.19,-5.14
22.54,-2.72,2.66,-2.71,2.67,-2.69,-5.41,-5.40,-5.38
22.76,-2.66,2.96,-2.66,2.94,-2.96,-5.62,-5.63,-5.62
22.99,-2.63,3.22,-2.62,3.23,-3.24,-5.86,-5.86,-5.84
23.22,-2.58,3.52,-2.57,3.52,-3.51,-6.09,-6.08,-6.09
23.45,-2.53,3.81,-2.53,3.80,-3.78,-6.30,-6.31,-6.34
23.69,-2.48,4.06,-2.48,4.06,-4.03,-6.51,-6.51,-6.54
23.92,-2.44,4.29,-2.44,4.29,-4.26,-6.71,-6.70,-6.74
24.16,-2.41,4.48,-2.41,4.48,-4.46,-6.88,-6.87,-6.90
24.40,-2.37,4.64,-2.37,4.64,-4.64,-7.01,-7.01,-7.01
24.65,-2.35,4.77,-2.34,4.78,-4.79,-7.13,-7.13,-7.11
24.89,-2.31,4.91,-2.31,4.90,-4.91,-7.21,-7.22,-7.22
25.14,-2.29,5.00,-2.29,5.00,-5.00,-7.30,-7.29,-7.29
25.39,-2.27,5.08,-2.27,5.08,-5.07,-7.33,-7.33,-7.34
25.65,-2.26,5.11,-2.25,5.12,-5.11,-7.36,-7.35,-7.36
25.91,-2.22,5.14,-2.22,5.13,-5.12,-7.33,-7.34,-7.35
26.16,-2.20,5.12,-2.20,5.12,-5.11,-7.30,-7.30,-7.31
26.43,-2.18,5.08,-2.17,5.09,-5.07,-7.25,-7.24,-7.25
26.69,-2.14,5.05,-2.14,5.03,-5.02,-7.16,-7.16,-7.18
26.96,-2.12,4.95,-2.11,4.95,-4.95,-7.07,-7.07,-7.07
27.23,-2.09,4.85,-2.08,4.87,-4.88,-6.97,-6.96,-6.94
