frequency,raw
20.00,-2.06
20.20,-1.86
20.40,-1.66
20.61,-1.46
20.81,-1.26
21.02,-1.05
21.23,-0.83
21.44,-0.61
21.66,-0.39
21.87,-0.18
22.09,0.05
22.31,0.28
22.54,0.53
22.76,0.79
22.99,1.05
23.22,1.30
23.45,1.57
23.69,1.81
23.92,2.05
24.16,2.26
24.40,2.44
24.65,2.60
24.89,2.74
25.14,2.84
25.39,2.92
25.65,2.96
25.91,2.98
26.16,2.99
26.43,2.98
26.69,2.95
26.96,2.91
27.23,2.86
27.50,2.81
27.77,2.76
28.05,2.70
28.33,2.66
28.62,2.61
28.90,2.58
29.19,2.56
29.48,2.54
29.78,2.54
30.08,2.54
30.38,2.57
30.68,2.59
30.99,2.62
31.30,2.64
31.61,2.66
31.93,2.67
32.24,2.69
32.57,2.71
32.89,2.71
33.22,2.72
33.55,2.73
33.89,2.73
34.23,2.72
34.57,2.71
34.92,2.69
35.27,2.66
35.62,2.63
35.97,2.61
36.33,2.56
36.70,2.53
37.06,2.48
37.43,2.43
37.81,2.38
38.19,2.33
38.57,2.27
38.95,2.20
39.34,2.13
39.74,2.07
40.14,2.00
40.54,1.91
40.94,1.84
41.35,1.76
41.76,1.69
42.18,1.60
42.60,1.52
43.03,1.42
43.46,1.35
43.90,1.27
44.33,1.18
44.78,1.08
45.23,1.00
45.68,0.92
46.13,0.83
46.60,0.73
47.06,0.62
47.53,0.52
48.01,0.40
48.49,0.30
48.97,0.19
49.46,0.08
49.96,-0.03
50.46,-0.15
50.96,-0.27
51.47,-0.40
51.99,-0.52
52.51,-0.64
53.03,-0.77
53.56,-0.89
54.10,-1.01
54.64,-1.12
55.18,-1.22
55.74,-1.32
56.29,-1.42
56.86,-1.50
57.42,-1.56
58.00,-1.63
58.58,-1.69
59.16,-1.74
59.76,-1.79
60.35,-1.84
60.96,-1.88
61.57,-1.94
62.18,-1.98
62.80,-2.02
63.43,-2.07
64.07,-2.12
64.71,-2.16
65.35,-2.21
66.01,-2.24
66.67,-2.28
67.33,-2.33
68.01,-2.36
68.69,-2.41
69.37,-2.46
70.07,-2.50
70.77,-2.51
71.48,-2.51
72.19,-2.52
72.91,-2.52
73.64,-2.50
74.38,-2.48
75.12,-2.47
75.87,-2.44
76.63,-2.39
77.40,-2.37
78.17,-2.34
78.95,-2.31
79.74,-2.26
80.54,-2.23
81.35,-2.20
82.16,-2.16
82.98,-2.14
83.81,-2.12
84.65,-2.09
85.50,-2.07
86.35,-2.05
87.22,-2.02
88.09,-2.00
88.97,-2.02
89.86,-2.00
90.76,-1.98
91.66,-1.96
92.58,-1.96
93.51,-1.97
94.44,-1.95
95.39,-1.93
96.34,-1.91
97.30,-1.92
98.28,-1.93
99.26,-1.92
100.25,-1.90
101.25,-1.90
102.27,-1.90
103.29,-1.90
104.32,-1.90
105.37,-1.90
106.42,-1.91
107.48,-1.92
108.56,-1.92
109.64,-1.93
110.74,-1.95
111.85,-1.96
112.97,-1.96
114.10,-1.97
115.24,-2.01
116.39,-2.01
117.55,-2.01
118.73,-2.01
119.92,-2.03
121.12,-2.05
122.33,-2.05
123.55,-2.05
