frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-1.88,-2.91,-1.93,-2.97,2.97,-0.27,-0.76,1.09,1.03,1.03
20.20,-1.68,-2.71,-1.72,-2.75,2.75,-0.28,-0.79,1.07,1.03,1.03
20.40,-1.48,-2.51,-1.50,-2.53,2.53,-0.30,-0.81,1.05,1.03,1.03
20.61,-1.28,-2.31,-1.28,-2.31,2.31,-0.31,-0.83,1.03,1.03,1.03
20.81,-1.08,-2.11,-1.06,-2.09,2.09,-0.33,-0.86,1.01,1.03,1.03
21.02,-0.87,-1.90,-0.84,-1.87,1.87,-0.34,-0.89,1.00,1.03,1.03
21.23,-0.65,-1.68,-0.61,-1.65,1.65,-0.36,-0.91,1.00,1.03,1.03
21.44,-0.43,-1.46,-0.39,-1.42,1.42,-0.38,-0.94,1.00,1.03,1.03
21.66,-0.21,-1.24,-0.17,-1.20,1.20,-0.40,-0.97,0.99,1.03,1.03
21.87,0.01,-1.03,0.06,-0.97,0.97,-0.42,-1.00,0.98,1.03,1.03
22.09,0.23,-0.80,0.29,-0.75,0.75,-0.44,-1.03,0.98,1.03,1.03
22.31,0.47,-0.57,0.51,-0.52,0.52,-0.47,-1.06,0.99,1.03,1.03
22.54,0.71,-0.32,0.76,-0.27,0.27,-0.49,-1.10,0.98,1.03,1.03
22.76,0.97,-0.06,1.01,-0.02,0.02,-0.52,-1.13,0.99,1.03,1.03
22.99,1.23,0.20,1.26,0.23,-0.23,-0.55,-1.16,1.00,1.03,1.03
23.22,1.48,0.45,1.51,0.48,-0.48,-0.58,-1.20,1.00,1.03,1.03
23.45,1.75,0.72,1.75,0.72,-0.72,-0.61,-1.23,1.04,1.03,1.03
23.69,1.99,0.96,1.98,0.95,-0.95,-0.65,-1.27,1.04,1.03,1.03
23.92,2.23,1.20,2.20,1.16,-1.16,-0.69,-1.31,1.07,1.03,1.03
24.16,2.44,1.41,2.40,1.36,-1.36,-0.73,-1.34,1.08,1.03,1.03
24.40,2.62,1.59,2.58,1.54,-1.54,-0.77,-1.38,1.08,1.03,1.03
24.65,2.78,1.75,2.73,1.70,-1.70,-0.82,-1.42,1.08,1.03,1.03
24.89,2.92,1.89,2.87,1.84,-1.84,-0.87,-1.45,1.09,1.03,1.03
25.14,3.02,1.99,2.98,1.94,-1.94,-0.92,-1.49,1.08,1.03,1.03
25.39,3.10,2.07,3.06,2.02,-2.02,-0.98,-1.53,1.08,1.03,1.03
25.65,3.14,2.11,3.11,2.08,-2.08,-1.04,-1.57,1.06,1.03,1.03
25.91,3.16,2.13,3.15,2.11,-2.11,-1.10,-1.60,1.05,1.03,1.03
26.16,3.17,2.14,3.16,2.13,-2.13,-1.17,-1.64,1.05,1.03,1.03
26.43,3.16,2.13,3.15,2.12,-2.12,-1.24,-1.67,1.04,1.03,1.03
26.69,3.13,2.10,3.13,2.10,-2.10,-1.32,-1.71,1.04,1.03,1.03
26.96,3.09,2.06,3.09,2.06,-2.06,-1.40,-1.74,1.03,1.03,1.03
27.23,3.04,2.01,3.05,2.02,-2.02,-1.48,-1.77,1.02,1.03,1.03
27.50,2.99,1.96,3.00,1.97,-1.97,-1.57,-1.80,1.02,1.03,1.03
27.77,2.94,1.91,2.95,1.92,-1.92,-1.66,-1.83,1.02,1.03,1.03
28.05,2.88,1.85,2.91,1.87,-1.87,-1.76,-1.86,1.01,1.03,1.03
28.33,2.84,1.81,2.86,1.83,-1.83,-1.85,-1.88,1.01,1.03,1.03
28.62,2.79,1.76,2.83,1.79,-1.79,-1.95,-1.90,1.00,1.03,1.03
28.90,2.76,1.73,2.80,1.76,-1.76,-2.05,-1.91,1.00,1.03,1.03
29.19,2.74,1.71,2.77,1.74,-1.74,-2.15,-1.93,1.00,1.03,1.03
29.48,2.72,1.69,2.76,1.73,-1.73,-2.24,-1.94,1.00,1.03,1.03
29.78,2.72,1.69,2.75,1.72,-1.72,-2.33,-1.94,1.00,1.03,1.03
30.08,2.72,1.69,2.75,1.72,-1.72,-2.42,-1.94,1.00,1.03,1.03
30.38,2.75,1.72,2.76,1.73,-1.73,-2.49,-1.94,1.03,1.03,1.03
30.68,2.77,1.74,2.77,1.74,-1.74,-2.55,-1.94,1.03,1.03,1.03
30.99,2.80,1.77,2.79,1.75,-1.75,-2.60,-1.92,1.05,1.03,1.03
31.30,2.82,1.79,2.81,1.77,-1.77,-2.63,-1.91,1.05,1.03,1.03
31.61,2.84,1.81,2.83,1.79,-1.79,-2.65,-1.89,1.05,1.03,1.03
31.93,2.85,1.82,2.85,1.82,-1.82,-2.65,-1.86,1.04,1.03,1.03
32.24,2.87,1.84,2.87,1.83,-1.83,-2.63,-1.84,1.04,1.03,1.03
32.57,2.89,1.86,2.88,1.85,-1.85,-2.59,-1.80,1.04,1.03,1.03
32.89,2.89,1.86,2.89,1.86,-1.86,-2.54,-1.76,1.03,1.03,1.03
33.22,2.90,1.87,2.90,1.87,-1.87,-2.47,-1.72,1.03,1.03,1.03
33.55,2.91,1.88,2.91,1.87,-1.87,-2.39,-1.68,1.04,1.03,1.03
33.89,2.91,1.88,2.90,1.87,-1.87,-2.29,-1.63,1.04,1.03,1.03
34.23,2.90,1.87,2.89,1.86,-1.86,-2.19,-1.58,1.04,1.03,1.03
34.57,2.89,1.86,2.88,1.85,-1.85,-2.08,-1.52,1.04,1.03,1.03
34.92,2.87,1.84,2.87,1.83,-1.83,-1.96,-1.46,1.04,1.03,1.03
35.27,2.84,1.81,2.84,1.81,-1.81,-1.85,-1.40,1.03,1.03,1.03
