frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.29,-3.47,-3.30,-3.50,3.50,0.00,-0.34,0.22,0.20,0.19
20.20,-3.26,-3.30,-3.25,-3.32,3.32,-0.00,-0.35,0.06,0.07,0.05
20.40,-3.20,-3.10,-3.19,-3.14,3.14,-0.00,-0.37,-0.07,-0.06,-0.10
20.61,-3.16,-2.88,-3.14,-2.95,2.95,-0.00,-0.38,-0.21,-0.19,-0.28
20.81,-3.07,-2.70,-3.09,-2.76,2.76,-0.01,-0.39,-0.32,-0.33,-0.37
21.02,-3.03,-2.55,-3.03,-2.56,2.56,-0.01,-0.40,-0.47,-0.47,-0.47
21.23,-2.98,-2.41,-2.98,-2.36,2.36,-0.01,-0.42,-0.62,-0.62,-0.56
21.44,-2.92,-2.22,-2.93,-2.16,2.16,-0.01,-0.43,-0.77,-0.78,-0.71
21.66,-2.88,-2.03,-2.89,-1.95,1.95,-0.02,-0.45,-0.93,-0.93,-0.84
21.87,-2.84,-1.86,-2.84,-1.74,1.74,-0.02,-0.46,-1.10,-1.10,-0.99
22.09,-2.79,-1.65,-2.79,-1.53,1.53,-0.02,-0.48,-1.27,-1.26,-1.15
22.31,-2.74,-1.43,-2.75,-1.31,1.31,-0.03,-0.50,-1.44,-1.44,-1.32
22.54,-2.72,-1.15,-2.70,-1.06,1.06,-0.03,-0.51,-1.65,-1.63,-1.56
22.76,-2.66,-0.86,-2.65,-0.82,0.82,-0.04,-0.53,-1.84,-1.84,-1.80
22.99,-2.63,-0.60,-2.61,-0.57,0.57,-0.04,-0.55,-2.06,-2.04,-2.03
23.22,-2.58,-0.30,-2.57,-0.31,0.31,-0.05,-0.56,-2.26,-2.26,-2.28
23.45,-2.53,-0.01,-2.53,-0.07,0.07,-0.05,-0.58,-2.46,-2.46,-2.52
23.69,-2.48,0.25,-2.49,0.17,-0.17,-0.06,-0.60,-2.65,-2.66,-2.72
23.92,-2.44,0.47,-2.45,0.40,-0.40,-0.07,-0.62,-2.84,-2.85,-2.92
24.16,-2.41,0.66,-2.42,0.60,-0.60,-0.08,-0.64,-3.02,-3.02,-3.08
24.40,-2.37,0.82,-2.38,0.79,-0.79,-0.08,-0.66,-3.15,-3.17,-3.19
24.65,-2.35,0.95,-2.35,0.94,-0.94,-0.09,-0.67,-3.29,-3.29,-3.30
24.89,-2.31,1.10,-2.32,1.07,-1.07,-0.10,-0.69,-3.37,-3.39,-3.40
25.14,-2.29,1.19,-2.29,1.16,-1.16,-0.11,-0.71,-3.46,-3.45,-3.48
25.39,-2.27,1.27,-2.27,1.23,-1.23,-0.12,-0.73,-3.49,-3.49,-3.53
25.65,-2.26,1.30,-2.24,1.26,-1.26,-0.14,-0.75,-3.52,-3.50,-3.55
25.91,-2.22,1.33,-2.21,1.28,-1.28,-0.15,-0.77,-3.49,-3.49,-3.54
26.16,-2.20,1.31,-2.19,1.26,-1.26,-0.16,-0.79,-3.46,-3.45,-3.50
26.43,-2.18,1.27,-2.16,1.24,-1.24,-0.18,-0.80,-3.41,-3.40,-3.44
26.69,-2.14,1.24,-2.13,1.20,-1.20,-0.20,-0.82,-3.33,-3.33,-3.37
26.96,-2.12,1.14,-2.10,1.14,-1.14,-0.22,-0.84,-3.26,-3.25,-3.26
27.23,-2.09,1.04,-2.08,1.08,-1.08,-0.24,-0.85,-3.17,-3.16,-3.13
27.50,-2.05,0.99,-2.05,1.01,-1.01,-0.26,-0.86,-3.06,-3.07,-3.04
27.77,-2.02,0.91,-2.03,0.94,-0.94,-0.29,-0.88,-2.96,-2.97,-2.92
28.05,-2.01,0.84,-2.00,0.88,-0.88,-0.31,-0.89,-2.88,-2.88,-2.85
28.33,-1.96,0.80,-1.98,0.82,-0.82,-0.34,-0.90,-2.77,-2.80,-2.76
28.62,-1.96,0.72,-1.96,0.77,-0.77,-0.37,-0.90,-2.73,-2.73,-2.68
28.90,-1.92,0.70,-1.94,0.73,-0.73,-0.41,-0.91,-2.65,-2.67,-2.62
29.19,-1.92,0.67,-1.92,0.70,-0.70,-0.44,-0.91,-2.62,-2.62,-2.59
29.48,-1.92,0.65,-1.90,0.69,-0.69,-0.48,-0.91,-2.60,-2.59,-2.56
29.78,-1.92,0.64,-1.89,0.69,-0.69,-0.52,-0.91,-2.60,-2.57,-2.55
30.08,-1.88,0.68,-1.88,0.70,-0.70,-0.57,-0.90,-2.57,-2.57,-2.55
30.38,-1.88,0.70,-1.87,0.71,-0.71,-0.62,-0.90,-2.59,-2.58,-2.57
30.68,-1.87,0.72,-1.86,0.74,-0.74,-0.67,-0.89,-2.60,-2.60,-2.59
30.99,-1.83,0.79,-1.85,0.77,-0.77,-0.72,-0.88,-2.59,-2.62,-2.62
31.30,-1.83,0.81,-1.85,0.80,-0.80,-0.77,-0.86,-2.63,-2.65,-2.64
31.61,-1.83,0.84,-1.84,0.83,-0.83,-0.82,-0.84,-2.66,-2.67,-2.67
31.93,-1.83,0.88,-1.83,0.87,-0.87,-0.88,-0.82,-2.69,-2.70,-2.71
32.24,-1.83,0.92,-1.82,0.90,-0.90,-0.93,-0.80,-2.73,-2.72,-2.74
32.57,-1.83,0.95,-1.81,0.93,-0.93,-0.98,-0.77,-2.76,-2.74,-2.77
32.89,-1.83,0.96,-1.79,0.95,-0.95,-1.02,-0.74,-2.78,-2.75,-2.78
33.22,-1.79,1.00,-1.78,0.97,-0.97,-1.06,-0.71,-2.75,-2.75,-2.79
33.55,-1.79,0.99,-1.77,0.97,-0.97,-1.09,-0.67,-2.76,-2.74,-2.78
33.89,-1.77,0.98,-1.75,0.97,-0.97,-1.11,-0.64,-2.74,-2.72,-2.75
34.23,-1.75,0.97,-1.74,0.96,-0.96,-1.12,-0.60,-2.71,-2.70,-2.71
34.57,-1.71,0.98,-1.72,0.95,-0.95,-1.12,-0.55,-2.66,-2.67,-2.68
34.92,-1.70,0.94,-1.70,0.94,-0.94,-1.10,-0.51,-2.63,-2.64,-2.64
35.27,-1.66,0.93,-1.69,0.92,-0.92,-1.08,-0.46,-2.58,-2.61,-2.59
35.62,-1.66,0.88,-1.67,0.90,-0.90,-1.04,-0.42,-2.55,-2.57,-2.54
35.97,-1.66,0.82,-1.65,0.87,-0.87,-1.00,-0.37,-2.53,-2.52,-2.48
36.33,-1.64,0.81,-1.64,0.84,-0.84,-0.94,-0.31,-2.48,-2.48,-2.44
36.70,-1.62,0.79,-1.62,0.81,-0.81,-0.89,-0.26,-2.42,-2.43,-2.41
37.06,-1.62,0.75,-1.61,0.77,-0.77,-0.82,-0.21,-2.38,-2.38,-2.37
37.43,-1.62,0.72,-1.60,0.73,-0.73,-0.75,-0.15,-2.34,-2.32,-2.34
37.81,-1.62,0.70,-1.59,0.68,-0.68,-0.68,-0.09,-2.30,-2.27,-2.31
38.19,-1.57,0.69,-1.58,0.63,-0.63,-0.61,-0.04,-2.20,-2.21,-2.26
38.57,-1.57,0.61,-1.57,0.58,-0.58,-0.54,0.02,-2.14,-2.15,-2.18
38.95,-1.57,0.54,-1.57,0.52,-0.52,-0.47,0.08,-2.09,-2.09,-2.11
39.34,-1.57,0.48,-1.57,0.46,-0.46,-0.40,0.14,-2.03,-2.03,-2.04
39.74,-1.57,0.39,-1.56,0.40,-0.40,-0.33,0.21,-1.96,-1.96,-1.96
40.14,-1.55,0.33,-1.56,0.33,-0.33,-0.26,0.27,-1.88,-1.89,-1.87
40.54,-1.55,0.24,-1.56,0.26,-0.26,-0.20,0.33,-1.81,-1.82,-1.78
40.94,-1.57,0.15,-1.57,0.19,-0.19,-0.14,0.40,-1.75,-1.75,-1.72
41.35,-1.57,0.10,-1.57,0.11,-0.11,-0.08,0.46,-1.67,-1.68,-1.67
41.76,-1.57,0.05,-1.58,0.03,-0.03,-0.02,0.53,-1.60,-1.61,-1.61
42.18,-1.59,-0.04,-1.59,-0.04,0.04,0.04,0.60,-1.54,-1.55,-1.55
42.60,-1.62,-0.13,-1.60,-0.11,0.11,0.10,0.66,-1.50,-1.48,-1.48
43.03,-1.62,-0.20,-1.60,-0.18,0.18,0.15,0.73,-1.43,-1.42,-1.42
43.46,-1.62,-0.26,-1.61,-0.25,0.25,0.20,0.80,-1.36,-1.36,-1.35
43.90,-1.62,-0.33,-1.61,-0.32,0.32,0.25,0.87,-1.30,-1.29,-1.29
44.33,-1.62,-0.39,-1.62,-0.39,0.39,0.31,0.94,-1.22,-1.23,-1.23
44.78,-1.64,-0.48,-1.63,-0.47,0.47,0.36,1.01,-1.17,-1.16,-1.16
45.23,-1.64,-0.54,-1.63,-0.54,0.54,0.41,1.08,-1.10,-1.09,-1.09
45.68,-1.63,-0.60,-1.63,-0.62,0.62,0.46,1.16,-1.01,-1.01,-1.03
46.13,-1.62,-0.66,-1.62,-0.70,0.70,0.50,1.23,-0.92,-0.93,-0.96
46.60,-1.62,-0.75,-1.62,-0.78,0.78,0.55,1.30,-0.84,-0.84,-0.87
47.06,-1.62,-0.84,-1.61,-0.86,0.86,0.60,1.38,-0.75,-0.75,-0.77
47.53,-1.62,-0.94,-1.61,-0.95,0.95,0.65,1.45,-0.67,-0.66,-0.68
48.01,-1.62,-1.05,-1.60,-1.03,1.03,0.70,1.53,-0.58,-0.57,-0.57
48.49,-1.62,-1.15,-1.59,-1.13,1.13,0.76,1.60,-0.49,-0.47,-0.46
48.97,-1.60,-1.26,-1.59,-1.22,1.22,0.81,1.68,-0.37,-0.37,-0.34
49.46,-1.57,-1.32,-1.58,-1.32,1.32,0.86,1.76,-0.25,-0.26,-0.24
49.96,-1.57,-1.41,-1.58,-1.42,1.42,0.91,1.83,-0.15,-0.16,-0.15
50.46,-1.57,-1.50,-1.58,-1.52,1.52,0.97,1.91,-0.04,-0.06,-0.06
50.96,-1.57,-1.61,-1.58,-1.63,1.63,1.02,1.98,0.06,0.05,0.04
51.47,-1.57,-1.72,-1.58,-1.73,1.73,1.08,2.06,0.16,0.15,0.15
51.99,-1.57,-1.81,-1.58,-1.83,1.83,1.14,2.14,0.27,0.25,0.24
52.51,-1.57,-1.90,-1.59,-1.94,1.94,1.20,2.21,0.37,0.35,0.34
53.03,-1.60,-2.03,-1.59,-2.04,2.04,1.26,2.28,0.44,0.44,0.44
53.56,-1.62,-2.15,-1.60,-2.14,2.14,1.33,2.35,0.52,0.54,0.54
54.10,-1.62,-2.24,-1.61,-2.23,2.23,1.39,2.42,0.62,0.63,0.63
54.64,-1.62,-2.33,-1.61,-2.33,2.33,1.46,2.49,0.71,0.71,0.72
