frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.29,0.35,-3.30,0.32,-0.32,-2.03,-2.05,-3.61,-3.62,-3.63
20.20,-3.26,0.52,-3.25,0.50,-0.50,-2.09,-2.11,-3.76,-3.75,-3.77
20.40,-3.20,0.72,-3.19,0.69,-0.69,-2.15,-2.17,-3.89,-3.88,-3.93
20.61,-3.16,0.94,-3.14,0.87,-0.87,-2.22,-2.24,-4.03,-4.01,-4.10
20.81,-3.07,1.12,-3.09,1.07,-1.07,-2.28,-2.30,-4.14,-4.15,-4.20
21.02,-3.03,1.27,-3.03,1.26,-1.26,-2.35,-2.37,-4.29,-4.30,-4.29
21.23,-2.98,1.41,-2.98,1.46,-1.46,-2.42,-2.44,-4.44,-4.44,-4.38
21.44,-2.92,1.60,-2.93,1.66,-1.66,-2.49,-2.51,-4.59,-4.60,-4.53
21.66,-2.88,1.79,-2.89,1.87,-1.87,-2.57,-2.58,-4.75,-4.75,-4.66
21.87,-2.84,1.96,-2.84,2.08,-2.08,-2.65,-2.66,-4.92,-4.92,-4.81
22.09,-2.79,2.17,-2.79,2.29,-2.29,-2.72,-2.74,-5.09,-5.08,-4.97
22.31,-2.74,2.39,-2.75,2.51,-2.51,-2.80,-2.82,-5.25,-5.26,-5.14
22.54,-2.72,2.66,-2.70,2.75,-2.75,-2.89,-2.90,-5.47,-5.45,-5.38
22.76,-2.66,2.96,-2.65,3.00,-3.00,-2.97,-2.98,-5.66,-5.65,-5.62
22.99,-2.63,3.22,-2.61,3.25,-3.25,-3.06,-3.07,-5.88,-5.86,-5.84
23.22,-2.58,3.52,-2.57,3.50,-3.50,-3.15,-3.16,-6.08,-6.07,-6.09
23.45,-2.53,3.81,-2.53,3.75,-3.75,-3.24,-3.25,-6.28,-6.28,-6.34
23.69,-2.48,4.06,-2.49,3.99,-3.99,-3.33,-3.34,-6.47,-6.48,-6.54
23.92,-2.44,4.29,-2.45,4.21,-4.21,-3.42,-3.43,-6.66,-6.67,-6.74
24.16,-2.41,4.48,-2.42,4.42,-4.42,-3.52,-3.53,-6.83,-6.84,-6.90
