frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.29,1.76,-3.30,1.73,-1.73,-3.22,-2.65,-5.02,-5.03,-5.04
20.20,-3.26,1.93,-3.25,1.91,-1.91,-3.29,-2.73,-5.16,-5.15,-5.18
20.40,-3.20,2.12,-3.19,2.09,-2.09,-3.36,-2.81,-5.29,-5.28,-5.33
20.61,-3.16,2.34,-3.14,2.27,-2.27,-3.43,-2.89,-5.43,-5.41,-5.50
20.81,-3.07,2.52,-3.09,2.46,-2.46,-3.51,-2.97,-5.54,-5.55,-5.59
21.02,-3.03,2.66,-3.03,2.65,-2.65,-3.58,-3.05,-5.68,-5.69,-5.69
21.23,-2.98,2.80,-2.98,2.85,-2.85,-3.66,-3.14,-5.82,-5.83,-5.77
21.44,-2.92,2.99,-2.93,3.05,-3.05,-3.74,-3.23,-5.97,-5.98,-5.91
21.66,-2.88,3.17,-2.89,3.25,-3.25,-3.81,-3.33,-6.13,-6.14,-6.04
21.87,-2.84,3.34,-2.84,3.46,-3.46,-3.89,-3.42,-6.30,-6.30,-6.18
22.09,-2.79,3.55,-2.79,3.67,-3.67,-3.98,-3.52,-6.46,-6.46,-6.34
22.31,-2.74,3.76,-2.75,3.88,-3.88,-4.06,-3.62,-6.63,-6.63,-6.51
22.54,-2.72,4.03,-2.70,4.12,-4.12,-4.14,-3.72,-6.84,-6.82,-6.75
22.76,-2.66,4.32,-2.65,4.36,-4.36,-4.22,-3.83,-7.02,-7.02,-6.98
22.99,-2.63,4.58,-2.61,4.61,-4.61,-4.31,-3.94,-7.24,-7.22,-7.20
23.22,-2.58,4.87,-2.57,4.86,-4.86,-4.39,-4.05,-7.44,-7.43,-7.45
23.45,-2.53,5.16,-2.53,5.11,-5.11,-4.48,-4.16,-7.63,-7.63,-7.69
23.69,-2.48,5.41,-2.49,5.34,-5.34,-4.57,-4.28,-7.82,-7.83,-7.89
23.92,-2.44,5.64,-2.45,5.56,-5.56,-4.65,-4.40,-8.00,-8.01,-8.08
24.16,-2.41,5.82,-2.42,5.76,-5.76,-4.74,-4.52,-8.18,-8.18,-8.24
24.40,-2.37,5.98,-2.38,5.94,-5.94,-4.83,-4.64,-8.31,-8.32,-8.34
24.65,-2.35,6.10,-2.35,6.09,-6.09,-4.91,-4.77,-8.44,-8.44,-8.45
24.89,-2.31,6.24,-2.32,6.21,-6.21,-5.00,-4.89,-8.52,-8.54,-8.55
25.14,-2.29,6.33,-2.29,6.30,-6.30,-5.08,-5.02,-8.60,-8.60,-8.62
25.39,-2.27,6.40,-2.27,6.36,-6.36,-5.17,-5.15,-8.63,-8.63,-8.67
25.65,-2.26,6.43,-2.24,6.40,-6.40,-5.25,-5.28,-8.65,-8.64,-8.68
25.91,-2.22,6.46,-2.21,6.40,-6.40,-5.34,-5.41,-8.62,-8.62,-8.67
26.16,-2.20,6.43,-2.19,6.39,-6.39,-5.42,-5.53,-8.59,-8.58,-8.63
26.43,-2.18,6.39,-2.16,6.36,-6.36,-5.50,-5.66,-8.54,-8.52,-8.56
26.69,-2.14,6.35,-2.13,6.31,-6.31,-5.58,-5.79,-8.45,-8.44,-8.49
