frequency,raw
20.00,3.18
20.20,3.24
20.40,3.30
20.61,3.37
20.81,3.39
21.02,3.43
21.23,3.50
21.44,3.56
21.66,3.63
21.87,3.70
22.09,3.76
22.31,3.82
22.54,3.87
22.76,3.92
22.99,3.96
23.22,3.99
23.45,4.01
23.69,4.06
23.92,4.10
24.16,4.12
24.40,4.15
24.65,4.19
24.89,4.23
25.14,4.28
25.39,4.33
25.65,4.38
25.91,4.42
26.16,4.46
26.43,4.50
26.69,4.54
26.96,4.60
27.23,4.66
27.50,4.69
27.77,4.73
28.05,4.77
28.33,4.81
28.62,4.85
28.90,4.89
29.19,4.92
29.48,4.96
29.78,5.00
30.08,5.04
30.38,5.07
30.68,5.11
30.99,5.15
31.30,5.19
31.61,5.22
31.93,5.27
32.24,5.32
32.57,5.37
32.89,5.42
33.22,5.47
33.55,5.51
33.89,5.54
34.23,5.57
34.57,5.60
34.92,5.63
35.27,5.67
35.62,5.72
35.97,5.77
36.33,5.84
36.70,5.89
37.06,5.92
37.43,5.96
37.81,6.00
38.19,6.00
38.57,5.99
38.95,5.98
39.34,5.98
39.74,6.00
40.14,6.01
40.54,6.03
40.94,6.04
41.35,6.04
41.76,6.05
42.18,6.05
42.60,6.05
43.03,6.05
43.46,6.03
43.90,6.01
44.33,6.01
44.78,6.01
45.23,6.01
45.68,6.02
46.13,6.05
46.60,6.07
47.06,6.09
47.53,6.11
48.01,6.14
48.49,6.19
48.97,6.25
49.46,6.31
49.96,6.37
50.46,6.41
50.96,6.44
51.47,6.45
51.99,6.46
52.51,6.46
53.03,6.48
53.56,6.50
54.10,6.52
54.64,6.56
55.18,6.60
55.74,6.66
56.29,6.70
56.86,6.74
57.42,6.78
58.00,6.82
58.58,6.83
59.16,6.84
59.76,6.86
60.35,6.89
60.96,6.92
61.57,6.95
62.18,6.98
62.80,6.99
63.43,6.99
64.07,6.99
64.71,6.99
65.35,6.99
66.01,6.99
66.67,7.00
67.33,7.01
68.01,7.04
68.69,7.06
69.37,7.08
70.07,7.12
70.77,7.17
71.48,7.22
72.19,7.27
72.91,7.28
73.64,7.28
74.38,7.28
75.12,7.30
75.87,7.33
76.63,7.36
77.40,7.42
78.17,7.47
78.95,7.51
79.74,7.54
80.54,7.57
81.35,7.59
82.16,7.59
82.98,7.59
83.81,7.59
84.65,7.59
85.50,7.59
86.35,7.59
87.22,7.58
88.09,7.57
88.97,7.56
89.86,7.56
90.76,7.56
91.66,7.56
92.58,7.54
93.51,7.52
94.44,7.49
95.39,7.47
96.34,7.46
97.30,7.45
98.28,7.44
99.26,7.43
100.25,7.42
101.25,7.41
102.27,7.39
103.29,7.38
104.32,7.38
105.37,7.37
106.42,7.37
107.48,7.35
108.56,7.32
109.64,7.30
110.74,7.29
111.85,7.26
112.97,7.23
114.10,7.22
115.24,7.22
116.39,7.23
117.55,7.25
118.73,7.27
119.92,7.28
121.12,7.27
122.33,7.25
123.55,7.21
124.79,7.18
126.03,7.15
127.29,7.13
128.57,7.12
129.85,7.09
131.15,7.06
132.46,7.04
133.79,7.04
135.12,7.04
136.48,7.03
137.84,7.02
139.22,7.00
140.61,6.96
142.02,6.92
143.44,6.87
144.87,6.82
146.32,6.77
147.78,6.68
149.26,6.59
150.75,6.50
152.26,6.42
153.78,6.34
155.32,6.25
156.88,6.15
158.44,6.06
160.03,5.99
161.63,5.92
163.24,5.87
164.88,5.85
166.53,5.85
168.19,5.86
169.87,5.89
171.57,5.92
173.29,5.95
175.02,5.96
176.77,5.97
178.54,5.97
180.32,5.96
182.13,5.95
183.95,5.93
185.79,5.88
187.65,5.83
189.52,5.78
191.42,5.74
193.33,5.69
195.27,5.65
197.22,5.60
199.19,5.52
201.18,5.43
203.19,5.32
205.23,5.24
207.28,5.16
209.35,5.04
211.44,4.91
213.56,4.81
215.69,4.73
217.85,4.65
220.03,4.58
222.23,4.52
224.45,4.48
226.70,4.44
228.96,4.40
231.25,4.36
233.57,4.32
235.90,4.27
238.26,4.18
240.64,4.07
243.05,3.96
245.48,3.87
247.93,3.78
250.41,3.72
252.92,3.66
255.45,3.57
258.00,3.48
260.58,3.39
263.19,3.32
265.82,3.25
268.48,3.18
271.16,3.13
273.87,3.07
276.61,2.96
279.38,2.82
282.17,2.70
284.99,2.56
287.84,2.41
290.72,2.27
293.63,2.08
296.57,1.90
299.53,1.81
302.53,1.68
305.55,1.54
308.61,1.45
311.69,1.36
314.81,1.27
317.96,1.16
321.14,1.05
324.35,0.90
327.59,0.75
330.87,0.65
334.18,0.56
337.52,0.46
340.90,0.34
344.30,0.20
347.75,0.05
351.23,-0.11
354.74,-0.27
358.28,-0.47
361.87,-0.67
365.49,-0.82
369.14,-0.89
372.83,-1.05
376.56,-1.15
380.33,-1.25
384.13,-1.37
387.97,-1.48
391.85,-1.58
395.77,-1.75
399.73,-1.90
403.72,-2.04
407.76,-2.09
411.84,-2.17
415.96,-2.25
420.12,-2.30
424.32,-2.37
428.56,-2.44
432.85,-2.45
437.18,-2.46
441.55,-2.46
445.96,-2.47
450.42,-2.48
454.93,-2.48
459.48,-2.46
464.07,-2.45
468.71,-2.44
473.40,-2.41
478.13,-2.38
482.91,-2.31
487.74,-2.25
492.62,-2.21
497.55,-2.18
502.52,-2.18
507.55,-2.16
512.62,-2.10
517.75,-2.06
522.93,-2.02
528.16,-1.99
533.44,-1.98
538.77,-1.99
544.16,-2.01
549.60,-1.99
555.10,-1.95
560.65,-1.91
566.25,-1.88
571.92,-1.88
577.64,-1.88
583.41,-1.86
589.25,-1.83
595.14,-1.79
601.09,-1.75
607.10,-1.71
613.17,-1.67
619.30,-1.63
625.50,-1.61
