frequency,raw
20.00,3.61
20.20,3.64
20.40,3.67
20.61,3.71
20.81,3.72
21.02,3.73
21.23,3.75
21.44,3.77
21.66,3.79
21.87,3.81
22.09,3.81
22.31,3.82
22.54,3.85
22.76,3.86
22.99,3.86
23.22,3.87
23.45,3.89
23.69,3.88
23.92,3.87
24.16,3.87
24.40,3.87
24.65,3.87
24.89,3.88
25.14,3.88
25.39,3.89
25.65,3.89
25.91,3.89
26.16,3.89
26.43,3.90
26.69,3.91
26.96,3.91
27.23,3.91
27.50,3.88
27.77,3.85
28.05,3.84
28.33,3.83
28.62,3.84
28.90,3.84
29.19,3.83
29.48,3.83
29.78,3.83
30.08,3.82
30.38,3.82
30.68,3.82
30.99,3.82
31.30,3.83
31.61,3.85
31.93,3.84
32.24,3.83
32.57,3.82
32.89,3.82
33.22,3.82
33.55,3.81
33.89,3.78
34.23,3.77
34.57,3.76
34.92,3.74
35.27,3.73
35.62,3.72
35.97,3.72
36.33,3.70
36.70,3.68
37.06,3.67
37.43,3.66
37.81,3.64
38.19,3.62
38.57,3.60
38.95,3.59
39.34,3.58
39.74,3.56
40.14,3.55
40.54,3.55
40.94,3.56
41.35,3.56
41.76,3.57
42.18,3.58
42.60,3.59
43.03,3.59
43.46,3.59
43.90,3.62
44.33,3.63
44.78,3.65
45.23,3.69
45.68,3.74
46.13,3.78
46.60,3.80
47.06,3.85
47.53,3.91
48.01,3.98
48.49,4.06
48.97,4.15
49.46,4.23
49.96,4.30
50.46,4.35
50.96,4.39
51.47,4.42
51.99,4.44
52.51,4.45
53.03,4.45
53.56,4.45
54.10,4.45
54.64,4.44
55.18,4.43
55.74,4.40
56.29,4.35
56.86,4.31
57.42,4.27
58.00,4.23
58.58,4.19
59.16,4.15
59.76,4.12
60.35,4.06
60.96,4.01
61.57,3.99
62.18,3.98
62.80,3.98
63.43,3.97
64.07,3.96
64.71,3.95
65.35,3.93
66.01,3.93
66.67,3.93
67.33,3.95
68.01,3.97
68.69,3.98
69.37,3.98
70.07,3.98
70.77,3.98
71.48,4.00
72.19,4.02
72.91,4.04
73.64,4.06
74.38,4.08
75.12,4.10
75.87,4.12
76.63,4.18
77.40,4.25
78.17,4.30
78.95,4.36
79.74,4.40
80.54,4.45
81.35,4.51
82.16,4.57
82.98,4.64
83.81,4.70
84.65,4.74
85.50,4.78
86.35,4.82
87.22,4.85
88.09,4.88
88.97,4.93
89.86,4.98
90.76,5.02
91.66,5.06
92.58,5.09
93.51,5.12
94.44,5.16
95.39,5.19
96.34,5.21
97.30,5.24
98.28,5.27
99.26,5.29
100.25,5.30
101.25,5.31
102.27,5.31
103.29,5.32
104.32,5.35
105.37,5.35
106.42,5.36
107.48,5.36
108.56,5.35
109.64,5.33
110.74,5.31
111.85,5.29
112.97,5.26
114.10,5.22
115.24,5.19
116.39,5.18
117.55,5.17
118.73,5.17
119.92,5.13
121.12,5.08
122.33,5.02
123.55,4.97
124.79,4.94
126.03,4.93
127.29,4.93
128.57,4.93
129.85,4.93
131.15,4.93
132.46,4.93
133.79,4.93
135.12,4.93
136.48,4.91
137.84,4.89
139.22,4.90
140.61,4.91
142.02,4.92
143.44,4.92
144.87,4.90
146.32,4.88
147.78,4.88
149.26,4.88
150.75,4.88
152.26,4.86
153.78,4.83
155.32,4.80
156.88,4.78
158.44,4.73
160.03,4.68
161.63,4.63
163.24,4.58
164.88,4.52
166.53,4.47
168.19,4.43
169.87,4.39
171.57,4.37
173.29,4.34
175.02,4.30
176.77,4.29
178.54,4.28
180.32,4.28
182.13,4.28
183.95,4.26
185.79,4.25
187.65,4.24
189.52,4.23
191.42,4.23
193.33,4.23
195.27,4.23
197.22,4.24
199.19,4.24
201.18,4.22
203.19,4.20
205.23,4.21
207.28,4.23
209.35,4.26
211.44,4.29
213.56,4.29
215.69,4.28
217.85,4.25
220.03,4.24
222.23,4.24
224.45,4.23
226.70,4.23
228.96,4.21
231.25,4.19
233.57,4.15
235.90,4.09
238.26,4.03
240.64,3.97
243.05,3.91
245.48,3.85
247.93,3.81
250.41,3.76
252.92,3.70
255.45,3.63
258.00,3.57
260.58,3.52
263.19,3.47
265.82,3.44
268.48,3.35
271.16,3.25
273.87,3.16
276.61,3.08
279.38,3.01
282.17,2.94
284.99,2.85
287.84,2.76
290.72,2.65
293.63,2.51
296.57,2.36
299.53,2.25
302.53,2.16
305.55,2.06
308.61,1.95
311.69,1.86
314.81,1.76
317.96,1.63
321.14,1.51
324.35,1.39
327.59,1.27
330.87,1.17
334.18,1.07
337.52,0.95
340.90,0.85
344.30,0.76
347.75,0.67
351.23,0.57
354.74,0.47
358.28,0.38
361.87,0.27
365.49,0.17
369.14,0.08
372.83,-0.00
376.56,-0.06
380.33,-0.12
384.13,-0.18
387.97,-0.23
391.85,-0.28
395.77,-0.33
399.73,-0.41
403.72,-0.47
407.76,-0.49
411.84,-0.50
415.96,-0.50
420.12,-0.49
424.32,-0.46
428.56,-0.43
432.85,-0.40
437.18,-0.38
441.55,-0.37
445.96,-0.37
450.42,-0.38
454.93,-0.39
459.48,-0.40
464.07,-0.40
468.71,-0.40
473.40,-0.38
478.13,-0.36
482.91,-0.34
487.74,-0.32
492.62,-0.30
497.55,-0.26
502.52,-0.22
507.55,-0.19
512.62,-0.17
517.75,-0.11
522.93,-0.06
528.16,-0.02
533.44,0.02
538.77,0.07
544.16,0.11
549.60,0.14
555.10,0.18
560.65,0.22
566.25,0.28
571.92,0.33
577.64,0.41
583.41,0.49
589.25,0.55
595.14,0.61
601.09,0.67
607.10,0.72
613.17,0.76
619.30,0.81
625.50,0.88
631.75,0.95
638.07,1.02
644.45,1.07
650.89,1.13
657.40,1.18
663.98,1.24
670.62,1.29
677.32,1.33
684.10,1.35
690.94,1.38
697.85,1.42
704.83,1.45
711.87,1.48
718.99,1.47
726.18,1.46
733.44,1.45
740.78,1.43
748.19,1.42
755.67,1.39
763.23,1.34
770.86,1.29
778.57,1.25
786.35,1.21
794.22,1.19
802.16,1.18
810.18,1.17
818.28,1.14
826.46,1.09
834.73,1.04
843.08,0.98
851.51,0.93
860.02,0.88
868.62,0.83
877.31,0.77
886.08,0.71
894.94,0.66
903.89,0.60
912.93,0.54
922.06,0.47
931.28,0.42
940.59,0.37
950.00,0.32
959.50,0.26
969.09,0.18
978.78,0.12
988.57,0.08
998.46,0.01
1008.44,-0.08
1018.53,-0.17
1028.71,-0.25
1039.00,-0.31
1049.39,-0.33
1059.88,-0.33
