frequency,raw
20.00,-6.56
20.20,-6.50
20.40,-6.44
20.61,-6.38
20.81,-6.35
21.02,-6.31
21.23,-6.25
21.44,-6.18
21.66,-6.11
21.87,-6.05
22.09,-5.99
22.31,-5.93
22.54,-5.88
22.76,-5.84
22.99,-5.80
23.22,-5.76
23.45,-5.72
23.69,-5.68
23.92,-5.64
24.16,-5.61
24.40,-5.59
24.65,-5.57
24.89,-5.56
25.14,-5.55
25.39,-5.53
25.65,-5.49
25.91,-5.47
26.16,-5.46
26.43,-5.43
26.69,-5.40
26.96,-5.34
27.23,-5.28
27.50,-5.24
27.77,-5.21
28.05,-5.18
28.33,-5.15
28.62,-5.11
28.90,-5.08
29.19,-5.05
29.48,-5.01
29.78,-4.97
30.08,-4.94
30.38,-4.92
30.68,-4.89
30.99,-4.87
31.30,-4.83
31.61,-4.79
31.93,-4.76
32.24,-4.73
32.57,-4.66
32.89,-4.58
33.22,-4.50
33.55,-4.48
33.89,-4.46
34.23,-4.43
34.57,-4.40
34.92,-4.37
35.27,-4.35
35.62,-4.31
35.97,-4.27
36.33,-4.23
36.70,-4.20
37.06,-4.17
37.43,-4.14
37.81,-4.10
38.19,-4.09
38.57,-4.08
38.95,-4.07
39.34,-4.06
39.74,-4.03
40.14,-4.01
40.54,-4.00
40.94,-3.98
41.35,-3.96
41.76,-3.95
42.18,-3.94
42.60,-3.92
43.03,-3.90
43.46,-3.90
43.90,-3.90
44.33,-3.92
44.78,-3.93
45.23,-3.91
45.68,-3.88
46.13,-3.83
46.60,-3.80
47.06,-3.76
47.53,-3.67
48.01,-3.59
48.49,-3.52
48.97,-3.47
49.46,-3.43
49.96,-3.37
50.46,-3.31
50.96,-3.25
51.47,-3.20
51.99,-3.14
52.51,-3.09
53.03,-3.03
53.56,-2.98
54.10,-2.94
54.64,-2.91
55.18,-2.89
55.74,-2.88
56.29,-2.87
56.86,-2.87
57.42,-2.87
58.00,-2.88
58.58,-2.89
59.16,-2.91
59.76,-2.93
60.35,-2.95
60.96,-2.97
61.57,-2.99
62.18,-3.01
62.80,-3.02
63.43,-3.03
64.07,-3.04
64.71,-3.05
65.35,-3.06
66.01,-3.05
66.67,-3.04
67.33,-3.05
68.01,-3.06
68.69,-3.06
69.37,-3.06
70.07,-3.07
70.77,-3.07
71.48,-3.07
72.19,-3.08
72.91,-3.09
73.64,-3.12
74.38,-3.15
75.12,-3.16
75.87,-3.16
76.63,-3.15
77.40,-3.14
78.17,-3.15
78.95,-3.16
79.74,-3.17
80.54,-3.18
81.35,-3.20
82.16,-3.21
82.98,-3.21
83.81,-3.21
84.65,-3.22
85.50,-3.23
86.35,-3.26
87.22,-3.28
88.09,-3.30
88.97,-3.31
89.86,-3.31
90.76,-3.31
91.66,-3.31
92.58,-3.33
93.51,-3.35
94.44,-3.37
95.39,-3.38
96.34,-3.39
97.30,-3.39
98.28,-3.38
99.26,-3.37
100.25,-3.36
101.25,-3.36
102.27,-3.36
103.29,-3.37
104.32,-3.37
105.37,-3.38
106.42,-3.39
107.48,-3.40
108.56,-3.41
109.64,-3.41
110.74,-3.40
111.85,-3.39
112.97,-3.40
114.10,-3.41
115.24,-3.41
116.39,-3.41
117.55,-3.39
118.73,-3.37
119.92,-3.37
121.12,-3.36
122.33,-3.36
123.55,-3.37
124.79,-3.38
126.03,-3.40
127.29,-3.41
128.57,-3.42
129.85,-3.43
131.15,-3.43
132.46,-3.42
133.79,-3.40
135.12,-3.38
136.48,-3.36
137.84,-3.35
139.22,-3.36
140.61,-3.36
142.02,-3.36
143.44,-3.37
144.87,-3.38
146.32,-3.39
147.78,-3.41
149.26,-3.41
150.75,-3.41
152.26,-3.41
153.78,-3.41
155.32,-3.41
156.88,-3.40
158.44,-3.39
160.03,-3.37
161.63,-3.34
163.24,-3.32
164.88,-3.33
166.53,-3.34
168.19,-3.35
169.87,-3.36
171.57,-3.37
173.29,-3.38
175.02,-3.39
176.77,-3.38
178.54,-3.36
180.32,-3.34
182.13,-3.32
183.95,-3.31
185.79,-3.30
187.65,-3.30
189.52,-3.30
191.42,-3.30
193.33,-3.29
195.27,-3.27
197.22,-3.26
199.19,-3.26
201.18,-3.26
203.19,-3.25
205.23,-3.26
207.28,-3.26
209.35,-3.24
211.44,-3.22
213.56,-3.24
215.69,-3.26
217.85,-3.27
220.03,-3.27
222.23,-3.24
224.45,-3.21
226.70,-3.20
228.96,-3.18
231.25,-3.16
233.57,-3.14
235.90,-3.11
238.26,-3.11
240.64,-3.11
243.05,-3.10
245.48,-3.09
247.93,-3.07
250.41,-3.06
252.92,-3.06
255.45,-3.06
258.00,-3.05
260.58,-3.03
263.19,-3.00
265.82,-2.97
268.48,-2.94
271.16,-2.93
273.87,-2.92
276.61,-2.92
279.38,-2.91
282.17,-2.88
284.99,-2.86
287.84,-2.84
290.72,-2.82
293.63,-2.80
296.57,-2.78
299.53,-2.75
302.53,-2.73
305.55,-2.72
308.61,-2.68
311.69,-2.65
314.81,-2.60
317.96,-2.55
321.14,-2.51
324.35,-2.47
327.59,-2.47
330.87,-2.47
334.18,-2.47
337.52,-2.45
340.90,-2.42
344.30,-2.39
347.75,-2.36
351.23,-2.34
354.74,-2.33
358.28,-2.31
361.87,-2.30
365.49,-2.28
369.14,-2.26
372.83,-2.22
376.56,-2.19
380.33,-2.16
384.13,-2.13
387.97,-2.10
391.85,-2.06
395.77,-2.02
