frequency,raw
20.00,-5.80
20.20,-5.68
20.40,-5.57
20.61,-5.50
20.81,-5.44
21.02,-5.39
21.23,-5.31
21.44,-5.22
21.66,-5.15
21.87,-5.09
22.09,-5.01
22.31,-4.93
22.54,-4.85
22.76,-4.77
22.99,-4.73
23.22,-4.68
23.45,-4.61
23.69,-4.55
23.92,-4.49
24.16,-4.45
24.40,-4.41
24.65,-4.38
24.89,-4.34
25.14,-4.31
25.39,-4.27
25.65,-4.24
25.91,-4.21
26.16,-4.20
26.43,-4.18
26.69,-4.11
26.96,-4.05
27.23,-4.01
27.50,-3.97
27.77,-3.93
28.05,-3.88
28.33,-3.82
28.62,-3.78
28.90,-3.74
29.19,-3.71
29.48,-3.67
29.78,-3.61
30.08,-3.54
30.38,-3.49
30.68,-3.45
30.99,-3.42
31.30,-3.38
31.61,-3.33
31.93,-3.28
32.24,-3.23
32.57,-3.16
32.89,-3.08
33.22,-3.03
33.55,-2.98
33.89,-2.92
34.23,-2.86
34.57,-2.81
34.92,-2.76
35.27,-2.74
35.62,-2.71
35.97,-2.67
36.33,-2.66
36.70,-2.66
37.06,-2.65
37.43,-2.65
37.81,-2.63
38.19,-2.62
38.57,-2.59
38.95,-2.57
39.34,-2.55
39.74,-2.53
40.14,-2.53
40.54,-2.53
40.94,-2.53
41.35,-2.53
41.76,-2.52
42.18,-2.51
42.60,-2.49
43.03,-2.48
43.46,-2.47
43.90,-2.46
44.33,-2.45
44.78,-2.43
45.23,-2.41
45.68,-2.37
46.13,-2.34
46.60,-2.28
47.06,-2.23
47.53,-2.19
48.01,-2.16
48.49,-2.14
48.97,-2.11
49.46,-2.09
49.96,-2.03
50.46,-1.96
50.96,-1.89
51.47,-1.81
51.99,-1.76
52.51,-1.71
53.03,-1.69
53.56,-1.67
54.10,-1.66
54.64,-1.64
55.18,-1.63
55.74,-1.63
56.29,-1.63
56.86,-1.65
57.42,-1.67
58.00,-1.68
58.58,-1.69
59.16,-1.68
59.76,-1.67
60.35,-1.64
60.96,-1.62
61.57,-1.57
62.18,-1.53
62.80,-1.50
63.43,-1.49
64.07,-1.49
64.71,-1.48
65.35,-1.48
66.01,-1.46
66.67,-1.44
67.33,-1.43
68.01,-1.42
68.69,-1.41
69.37,-1.40
70.07,-1.40
70.77,-1.40
71.48,-1.39
72.19,-1.39
72.91,-1.39
73.64,-1.38
74.38,-1.37
75.12,-1.37
75.87,-1.37
76.63,-1.35
77.40,-1.34
78.17,-1.31
78.95,-1.29
79.74,-1.28
80.54,-1.28
81.35,-1.28
82.16,-1.28
82.98,-1.28
83.81,-1.28
