frequency,raw
20.00,-2.99
20.20,-2.88
20.40,-2.77
20.61,-2.70
20.81,-2.65
21.02,-2.61
21.23,-2.55
21.44,-2.44
21.66,-2.38
21.87,-2.34
22.09,-2.30
22.31,-2.27
22.54,-2.23
22.76,-2.19
22.99,-2.17
23.22,-2.14
23.45,-2.09
23.69,-2.04
23.92,-1.98
24.16,-1.92
24.40,-1.86
24.65,-1.82
24.89,-1.78
25.14,-1.72
25.39,-1.66
25.65,-1.61
25.91,-1.56
26.16,-1.53
26.43,-1.51
26.69,-1.46
26.96,-1.41
27.23,-1.36
27.50,-1.31
27.77,-1.27
28.05,-1.23
28.33,-1.19
28.62,-1.14
28.90,-1.10
29.19,-1.06
29.48,-1.01
29.78,-0.98
30.08,-0.95
30.38,-0.96
30.68,-0.97
30.99,-0.98
31.30,-1.00
31.61,-1.04
31.93,-1.08
32.24,-1.13
32.57,-1.15
32.89,-1.17
33.22,-1.17
33.55,-1.17
33.89,-1.15
34.23,-1.13
34.57,-1.09
34.92,-1.06
35.27,-1.02
35.62,-0.99
35.97,-0.95
36.33,-0.92
36.70,-0.91
37.06,-0.89
37.43,-0.88
37.81,-0.86
38.19,-0.84
38.57,-0.81
38.95,-0.77
39.34,-0.74
39.74,-0.71
40.14,-0.68
40.54,-0.64
40.94,-0.60
41.35,-0.57
41.76,-0.57
42.18,-0.59
42.60,-0.62
43.03,-0.65
43.46,-0.67
43.90,-0.68
44.33,-0.68
44.78,-0.68
45.23,-0.67
45.68,-0.63
46.13,-0.60
46.60,-0.60
47.06,-0.60
47.53,-0.63
48.01,-0.65
48.49,-0.68
48.97,-0.71
49.46,-0.73
49.96,-0.76
50.46,-0.79
50.96,-0.78
51.47,-0.76
51.99,-0.74
52.51,-0.71
53.03,-0.66
53.56,-0.62
54.10,-0.59
54.64,-0.56
55.18,-0.51
55.74,-0.49
56.29,-0.48
56.86,-0.51
57.42,-0.55
58.00,-0.60
58.58,-0.66
59.16,-0.69
59.76,-0.72
60.35,-0.69
60.96,-0.66
61.57,-0.61
62.18,-0.56
62.80,-0.52
63.43,-0.49
64.07,-0.45
64.71,-0.43
65.35,-0.42
66.01,-0.42
66.67,-0.44
67.33,-0.49
68.01,-0.56
68.69,-0.59
69.37,-0.62
70.07,-0.56
70.77,-0.50
71.48,-0.43
72.19,-0.38
72.91,-0.34
73.64,-0.30
74.38,-0.27
75.12,-0.27
75.87,-0.31
76.63,-0.37
77.40,-0.43
78.17,-0.53
78.95,-0.57
79.74,-0.57
80.54,-0.54
81.35,-0.51
82.16,-0.44
82.98,-0.37
83.81,-0.31
84.65,-0.26
85.50,-0.23
86.35,-0.22
87.22,-0.25
88.09,-0.34
88.97,-0.44
89.86,-0.52
90.76,-0.52
91.66,-0.52
92.58,-0.50
93.51,-0.48
94.44,-0.43
