frequency,raw
20.00,-5.41
20.20,-5.27
20.40,-5.14
20.61,-5.05
20.81,-4.98
21.02,-4.93
21.23,-4.86
21.44,-4.77
21.66,-4.68
21.87,-4.60
22.09,-4.55
22.31,-4.50
22.54,-4.44
22.76,-4.37
22.99,-4.32
23.22,-4.27
23.45,-4.20
23.69,-4.12
23.92,-4.05
24.16,-3.98
24.40,-3.91
24.65,-3.85
24.89,-3.78
25.14,-3.71
25.39,-3.65
25.65,-3.58
25.91,-3.51
26.16,-3.47
26.43,-3.44
26.69,-3.38
26.96,-3.31
27.23,-3.23
27.50,-3.15
27.77,-3.08
28.05,-3.01
28.33,-2.94
28.62,-2.84
28.90,-2.76
29.19,-2.71
29.48,-2.67
29.78,-2.62
30.08,-2.59
30.38,-2.58
30.68,-2.59
30.99,-2.60
31.30,-2.62
31.61,-2.64
31.93,-2.67
32.24,-2.70
32.57,-2.70
32.89,-2.69
33.22,-2.67
33.55,-2.63
33.89,-2.58
34.23,-2.52
34.57,-2.48
34.92,-2.42
35.27,-2.35
35.62,-2.32
35.97,-2.28
36.33,-2.27
36.70,-2.25
37.06,-2.25
37.43,-2.25
37.81,-2.24
38.19,-2.20
38.57,-2.13
38.95,-2.05
39.34,-1.97
39.74,-1.91
40.14,-1.87
40.54,-1.84
40.94,-1.81
41.35,-1.80
41.76,-1.80
42.18,-1.80
42.60,-1.80
43.03,-1.79
43.46,-1.77
43.90,-1.73
44.33,-1.70
44.78,-1.67
45.23,-1.61
45.68,-1.55
46.13,-1.51
46.60,-1.48
47.06,-1.47
47.53,-1.47
48.01,-1.48
48.49,-1.49
48.97,-1.54
49.46,-1.59
49.96,-1.65
50.46,-1.68
50.96,-1.68
51.47,-1.67
51.99,-1.64
52.51,-1.59
53.03,-1.53
53.56,-1.49
54.10,-1.46
54.64,-1.42
55.18,-1.39
55.74,-1.38
56.29,-1.39
56.86,-1.47
57.42,-1.58
58.00,-1.70
58.58,-1.80
59.16,-1.85
59.76,-1.88
60.35,-1.89
60.96,-1.89
61.57,-1.84
62.18,-1.78
62.80,-1.67
63.43,-1.55
64.07,-1.45
64.71,-1.45
65.35,-1.48
66.01,-1.58
66.67,-1.65
67.33,-1.68
68.01,-1.70
68.69,-1.71
69.37,-1.79
70.07,-1.90
70.77,-1.97
71.48,-2.00
72.19,-2.00
72.91,-1.99
73.64,-1.98
74.38,-1.97
75.12,-1.96
75.87,-1.97
76.63,-1.98
77.40,-1.95
78.17,-1.92
78.95,-1.92
79.74,-1.95
80.54,-2.03
81.35,-2.04
82.16,-2.00
82.98,-1.94
83.81,-1.87
84.65,-1.85
85.50,-1.85
86.35,-1.88
87.22,-1.95
88.09,-2.09
88.97,-2.26
89.86,-2.38
90.76,-2.47
91.66,-2.51
92.58,-2.52
93.51,-2.50
94.44,-2.48
95.39,-2.46
96.34,-2.48
97.30,-2.52
98.28,-2.56
99.26,-2.60
100.25,-2.61
101.25,-2.61
102.27,-2.58
103.29,-2.57
104.32,-2.61
105.37,-2.66
106.42,-2.73
107.48,-2.76
108.56,-2.76
109.64,-2.73
110.74,-2.68
111.85,-2.55
112.97,-2.41
114.10,-2.30
115.24,-2.28
116.39,-2.31
117.55,-2.46
118.73,-2.59
119.92,-2.68
121.12,-2.71
122.33,-2.66
123.55,-2.51
124.79,-2.41
126.03,-2.37
127.29,-2.43
128.57,-2.66
129.85,-2.81
131.15,-2.88
132.46,-2.91
133.79,-2.89
135.12,-2.87
136.48,-2.87
137.84,-2.87
139.22,-2.87
140.61,-2.86
142.02,-2.85
143.44,-2.87
144.87,-2.88
146.32,-2.82
147.78,-2.75
149.26,-2.68
150.75,-2.66
152.26,-2.65
153.78,-2.68
155.32,-2.80
156.88,-3.04
158.44,-3.21
160.03,-3.30
161.63,-3.30
163.24,-3.21
164.88,-3.06
166.53,-2.99
168.19,-2.96
169.87,-3.01
171.57,-3.06
173.29,-3.12
175.02,-3.23
176.77,-3.34
178.54,-3.38
180.32,-3.39
182.13,-3.33
183.95,-3.29
185.79,-3.26
187.65,-3.21
189.52,-3.13
191.42,-2.98
193.33,-2.90
195.27,-2.88
197.22,-2.93
199.19,-2.96
201.18,-2.94
203.19,-2.92
205.23,-2.91
207.28,-2.96
209.35,-3.04
211.44,-3.07
213.56,-3.09
215.69,-3.11
217.85,-3.12
220.03,-3.18
222.23,-3.22
224.45,-3.21
226.70,-3.22
228.96,-3.29
231.25,-3.34
233.57,-3.37
235.90,-3.34
238.26,-3.27
240.64,-3.23
243.05,-3.21
245.48,-3.25
247.93,-3.30
250.41,-3.28
252.92,-3.25
255.45,-3.25
258.00,-3.25
260.58,-3.30
263.19,-3.32
265.82,-3.31
268.48,-3.30
271.16,-3.30
273.87,-3.30
276.61,-3.30
279.38,-3.30
282.17,-3.30
284.99,-3.26
287.84,-3.23
290.72,-3.38
293.63,-3.45
296.57,-3.47
299.53,-3.43
302.53,-3.38
305.55,-3.32
308.61,-3.32
311.69,-3.33
314.81,-3.31
317.96,-3.23
321.14,-3.06
324.35,-2.89
327.59,-2.93
330.87,-2.96
334.18,-2.96
337.52,-2.99
340.90,-3.05
344.30,-3.10
347.75,-3.13
351.23,-3.13
354.74,-3.12
358.28,-3.13
361.87,-3.14
365.49,-3.10
369.14,-3.07
372.83,-3.02
376.56,-2.99
380.33,-2.98
384.13,-2.99
387.97,-3.03
391.85,-3.02
395.77,-2.98
399.73,-2.95
403.72,-2.93
407.76,-2.89
411.84,-2.84
415.96,-2.77
420.12,-2.77
424.32,-2.76
428.56,-2.70
432.85,-2.62
437.18,-2.60
441.55,-2.63
445.96,-2.74
450.42,-2.79
454.93,-2.84
459.48,-2.84
464.07,-2.83
468.71,-2.73
473.40,-2.63
478.13,-2.55
482.91,-2.40
487.74,-2.40
492.62,-2.54
497.55,-2.69
502.52,-2.75
507.55,-2.77
512.62,-2.76
517.75,-2.75
522.93,-2.80
528.16,-2.85
533.44,-2.85
538.77,-2.80
544.16,-2.70
549.60,-2.69
555.10,-2.70
560.65,-2.79
566.25,-2.84
571.92,-2.78
577.64,-2.72
583.41,-2.65
589.25,-2.58
595.14,-2.49
601.09,-2.51
607.10,-2.59
613.17,-2.60
619.30,-2.58
625.50,-2.56
631.75,-2.58
638.07,-2.70
644.45,-2.71
650.89,-2.69
657.40,-2.63
663.98,-2.54
670.62,-2.42
677.32,-2.33
684.10,-2.31
690.94,-2.34
697.85,-2.38
704.83,-2.43
711.87,-2.43
718.99,-2.38
726.18,-2.26
733.44,-2.22
740.78,-2.21
748.19,-2.16
755.67,-2.07
763.23,-1.90
770.86,-1.63
778.57,-1.55
786.35,-1.54
794.22,-1.54
802.16,-1.44
810.18,-1.36
818.28,-1.31
826.46,-1.26
834.73,-1.16
843.08,-1.09
851.51,-1.03
860.02,-0.94
868.62,-0.83
877.31,-0.72
886.08,-0.64
894.94,-0.59
903.89,-0.52
912.93,-0.43
922.06,-0.28
931.28,-0.19
940.59,-0.13
950.00,-0.11
959.50,-0.07
969.09,-0.02
978.78,0.01
988.57,0.00
998.46,0.00
1008.44,-0.00
1018.53,0.05
1028.71,0.11
1039.00,0.19
1049.39,0.27
1059.88,0.24
1070.48,0.21
1081.19,0.11
1092.00,0.02
1102.92,-0.07
1113.95,-0.16
1125.09,-0.23
1136.34,-0.33
1147.70,-0.44
1159.18,-0.51
1170.77,-0.55
1182.48,-0.54
1194.30,-0.49
1206.25,-0.42
1218.31,-0.28
1230.49,-0.18
1242.80,-0.09
1255.22,0.01
1267.78,0.15
1280.45,0.30
1293.26,0.44
1306.19,0.59
1319.25,0.78
1332.45,0.88
1345.77,1.05
1359.23,1.24
1372.82,1.25
1386.55,1.25
1400.41,1.22
1414.42,1.22
1428.56,1.26
1442.85,1.26
1457.28,1.16
1471.85,1.04
1486.57,0.70
1501.43,0.33
1516.45,0.12
1531.61,-0.17
1546.93,-0.59
1562.40,-0.68
1578.02,-0.71
1593.80,-0.66
1609.74,-0.63
1625.84,-0.65
1642.10,-0.72
1658.52,-0.82
1675.10,-0.83
1691.85,-0.84
1708.77,-0.82
1725.86,-0.75
1743.12,-0.52
1760.55,-0.30
1778.15,-0.21
1795.94,-0.23
1813.90,-0.20
1832.03,-0.11
1850.36,-0.03
1868.86,0.12
1887.55,0.38
1906.42,0.48
1925.49,0.69
1944.74,1.03
1964.19,1.20
1983.83,1.43
2003.67,1.57
2023.71,1.71
2043.94,2.14
2064.38,2.33
2085.03,2.61
2105.88,2.72
2126.94,2.89
2148.20,3.15
2169.69,3.33
2191.38,3.63
2213.30,3.92
2235.43,4.16
2257.78,4.34
2280.36,4.65
2303.17,5.14
2326.20,5.48
2349.46,5.75
2372.95,6.03
2396.68,6.26
2420.65,6.47
2444.86,6.74
2469.31,6.88
2494.00,7.04
2518.94,7.30
2544.13,7.56
2569.57,7.75
2595.27,7.90
2621.22,8.07
2647.43,8.20
2673.90,8.40
2700.64,8.58
2727.65,8.69
2754.93,8.76
2782.48,8.80
2810.30,8.82
2838.40,8.83
2866.79,8.84
2895.46,8.78
2924.41,8.70
2953.65,8.59
2983.19,8.49
3013.02,8.40
3043.15,8.24
3073.58,7.99
3104.32,7.68
3135.36,7.44
3166.72,7.18
3198.38,6.95
3230.37,6.64
3262.67,6.31
3295.30,5.91
3328.25,5.50
3361.53,5.09
3395.15,4.44
3429.10,3.97
3463.39,3.56
3498.03,2.78
3533.01,2.02
3568.34,1.44
3604.02,1.10
3640.06,0.49
3676.46,0.12
3713.22,0.10
3750.36,0.07
3787.86,0.05
3825.74,0.23
3864.00,0.82
3902.64,1.31
3941.66,1.69
3981.08,1.94
4020.89,2.08
4061.10,2.18
4101.71,2.23
4142.73,2.27
4184.15,2.29
4226.00,2.29
4268.26,2.19
4310.94,2.10
4354.05,2.01
4397.59,2.02
4441.56,2.04
4485.98,2.11
4530.84,2.20
4576.15,2.31
4621.91,2.40
4668.13,2.47
4714.81,2.55
4761.96,2.66
4809.58,2.80
4857.67,2.97
4906.25,3.15
4955.31,3.34
5004.87,3.54
5054.91,3.75
5105.46,3.87
5156.52,3.98
5208.08,4.16
5260.16,4.46
5312.77,4.63
5365.89,4.80
5419.55,4.89
5473.75,4.94
5528.49,4.83
5583.77,4.67
5639.61,4.47
5696.00,4.00
5752.96,3.47
5810.49,2.85
5868.60,2.48
5927.28,1.43
5986.56,0.12
6046.42,-1.36
6106.89,-2.41
6167.96,-3.29
6229.64,-4.32
6291.93,-5.06
6354.85,-5.26
6418.40,-5.13
6482.58,-4.71
6547.41,-3.79
6612.88,-2.33
6679.01,-0.71
6745.80,-0.00
6813.26,0.47
6881.39,0.92
6950.21,0.87
7019.71,0.81
7089.91,0.78
7160.81,0.76
7232.41,0.83
7304.74,0.97
7377.79,1.23
7451.56,1.46
7526.08,1.64
7601.34,1.92
7677.35,2.24
7754.13,2.48
7831.67,2.64
7909.98,2.83
7989.08,2.92
8068.98,3.01
8149.67,3.11
8231.16,3.19
8313.47,3.26
8396.61,3.31
8480.57,3.41
8565.38,3.57
8651.03,3.74
8737.54,3.87
8824.92,4.06
8913.17,4.28
9002.30,4.45
9092.32,4.78
9183.25,4.94
9275.08,5.05
9367.83,5.08
9461.51,5.04
9556.12,4.77
9651.68,4.29
9748.20,3.78
9845.68,3.21
9944.14,2.52
10043.58,1.66
10144.02,0.85
10245.46,-0.04
10347.91,-0.89
10451.39,-1.59
10555.91,-2.27
10661.46,-2.93
10768.08,-3.71
10875.76,-4.55
10984.52,-5.17
11094.36,-5.70
11205.31,-5.89
11317.36,-5.86
11430.53,-5.79
11544.84,-5.69
11660.29,-5.61
11776.89,-5.55
11894.66,-5.50
12013.60,-5.42
12133.74,-5.29
12255.08,-5.08
12377.63,-4.69
12501.41,-4.29
12626.42,-3.89
12752.68,-3.35
12880.21,-2.83
13009.01,-2.34
13139.10,-2.06
13270.49,-1.90
13403.20,-1.72
13537.23,-1.54
13672.60,-1.27
13809.33,-0.92
13947.42,-0.53
14086.90,0.05
14227.77,0.74
14370.04,1.55
14513.74,1.91
14658.88,2.00
14805.47,1.91
14953.52,1.66
15103.06,1.25
15254.09,0.87
15406.63,0.43
15560.70,0.05
15716.30,-0.56
15873.47,-1.26
16032.20,-1.77
16192.52,-2.25
16354.45,-3.08
16517.99,-3.75
16683.17,-4.26
16850.01,-4.93
17018.51,-5.66
17188.69,-6.04
17360.58,-6.19
17534.18,-6.24
17709.53,-6.15
17886.62,-5.69
18065.49,-5.13
18246.14,-4.36
18428.60,-3.73
18612.89,-3.55
18799.02,-3.53
18987.01,-3.65
19176.88,-3.89
19368.65,-4.22
19562.33,-4.60
19757.96,-4.99
19955.54,-5.43
