frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
20.00,3.18,1.56,3.15,1.55,-1.55,-1.41,1.63,1.60,1.61
20.20,3.24,1.62,3.22,1.61,-1.61,-1.44,1.63,1.61,1.62
20.40,3.30,1.67,3.29,1.67,-1.67,-1.48,1.63,1.62,1.63
20.61,3.37,1.73,3.35,1.73,-1.73,-1.52,1.64,1.62,1.63
20.81,3.39,1.75,3.41,1.78,-1.78,-1.57,1.60,1.63,1.64
21.02,3.43,1.78,3.47,1.84,-1.84,-1.61,1.59,1.63,1.64
21.23,3.50,1.85,3.53,1.89,-1.89,-1.65,1.61,1.64,1.65
21.44,3.56,1.90,3.59,1.94,-1.94,-1.70,1.62,1.65,1.65
21.66,3.63,1.97,3.64,1.99,-1.99,-1.75,1.64,1.65,1.66
21.87,3.70,2.03,3.69,2.04,-2.04,-1.80,1.66,1.66,1.66
22.09,3.76,2.09,3.75,2.08,-2.08,-1.85,1.67,1.66,1.67
22.31,3.82,2.14,3.80,2.13,-2.13,-1.90,1.69,1.67,1.67
22.54,3.87,2.19,3.84,2.17,-2.17,-1.95,1.70,1.67,1.68
22.76,3.92,2.23,3.89,2.21,-2.21,-2.00,1.71,1.68,1.69
22.99,3.96,2.27,3.93,2.25,-2.25,-2.06,1.71,1.69,1.69
23.22,3.99,2.29,3.98,2.29,-2.29,-2.11,1.70,1.69,1.70
23.45,4.01,2.31,4.02,2.32,-2.32,-2.17,1.69,1.70,1.70
23.69,4.06,2.35,4.06,2.35,-2.35,-2.23,1.70,1.70,1.71
23.92,4.10,2.39,4.10,2.39,-2.39,-2.29,1.71,1.71,1.71
24.16,4.12,2.40,4.13,2.42,-2.42,-2.35,1.70,1.71,1.72
24.40,4.15,2.43,4.17,2.45,-2.45,-2.41,1.70,1.71,1.72
24.65,4.19,2.46,4.20,2.48,-2.48,-2.47,1.70,1.72,1.73
24.89,4.23,2.50,4.24,2.52,-2.52,-2.53,1.71,1.72,1.73
25.14,4.28,2.54,4.28,2.55,-2.55,-2.60,1.73,1.73,1.74
25.39,4.33,2.59,4.32,2.59,-2.59,-2.66,1.74,1.74,1.74
25.65,4.38,2.63,4.37,2.62,-2.62,-2.72,1.75,1.74,1.75
25.91,4.42,2.66,4.41,2.66,-2.66,-2.79,1.75,1.75,1.75
26.16,4.46,2.70,4.46,2.70,-2.70,-2.85,1.76,1.76,1.76
26.43,4.50,2.73,4.50,2.74,-2.74,-2.91,1.76,1.76,1.76
26.69,4.54,2.77,4.55,2.78,-2.78,-2.98,1.76,1.77,1.77
26.96,4.60,2.82,4.59,2.82,-2.82,-3.04,1.78,1.78,1.78
27.23,4.66,2.87,4.64,2.85,-2.85,-3.10,1.80,1.79,1.78
27.50,4.69,2.90,4.68,2.89,-2.89,-3.16,1.80,1.79,1.79
27.77,4.73,2.93,4.72,2.93,-2.93,-3.22,1.80,1.80,1.80
28.05,4.77,2.97,4.76,2.96,-2.96,-3.27,1.80,1.80,1.80
28.33,4.81,3.00,4.80,3.00,-3.00,-3.33,1.81,1.80,1.81
28.62,4.85,3.04,4.84,3.04,-3.04,-3.38,1.81,1.81,1.81
28.90,4.89,3.07,4.88,3.07,-3.07,-3.43,1.82,1.81,1.81
29.19,4.92,3.10,4.92,3.11,-3.11,-3.48,1.81,1.81,1.82
29.48,4.96,3.14,4.96,3.14,-3.14,-3.52,1.82,1.82,1.82
29.78,5.00,3.17,4.99,3.18,-3.18,-3.56,1.82,1.82,1.82
30.08,5.04,3.21,5.03,3.21,-3.21,-3.60,1.82,1.82,1.82
30.38,5.07,3.24,5.07,3.25,-3.25,-3.63,1.81,1.82,1.82
30.68,5.11,3.28,5.11,3.29,-3.29,-3.66,1.82,1.82,1.83
30.99,5.15,3.32,5.15,3.33,-3.33,-3.69,1.82,1.82,1.83
31.30,5.19,3.36,5.20,3.37,-3.37,-3.71,1.82,1.83,1.83
31.61,5.22,3.39,5.24,3.41,-3.41,-3.73,1.81,1.83,1.83
31.93,5.27,3.43,5.28,3.45,-3.45,-3.75,1.82,1.83,1.83
32.24,5.32,3.48,5.32,3.49,-3.49,-3.76,1.83,1.83,1.83
32.57,5.37,3.53,5.36,3.53,-3.53,-3.77,1.84,1.83,1.84
32.89,5.42,3.58,5.40,3.56,-3.56,-3.77,1.85,1.84,1.84
33.22,5.47,3.62,5.44,3.60,-3.60,-3.78,1.87,1.84,1.85
33.55,5.51,3.66,5.48,3.64,-3.64,-3.78,1.87,1.84,1.85
33.89,5.54,3.68,5.53,3.68,-3.68,-3.77,1.86,1.85,1.86
34.23,5.57,3.70,5.57,3.71,-3.71,-3.77,1.85,1.86,1.87
34.57,5.60,3.72,5.62,3.75,-3.75,-3.76,1.85,1.87,1.87
34.92,5.63,3.74,5.66,3.79,-3.79,-3.75,1.84,1.88,1.88
35.27,5.67,3.77,5.71,3.82,-3.82,-3.74,1.85,1.89,1.89
35.62,5.72,3.81,5.75,3.85,-3.85,-3.73,1.87,1.90,1.90
35.97,5.77,3.85,5.79,3.88,-3.88,-3.72,1.89,1.91,1.92
36.33,5.84,3.91,5.82,3.91,-3.91,-3.71,1.93,1.92,1.93
36.70,5.89,3.95,5.86,3.93,-3.93,-3.70,1.95,1.92,1.94
37.06,5.92,3.97,5.89,3.95,-3.95,-3.69,1.96,1.93,1.95
37.43,5.96,4.00,5.92,3.97,-3.97,-3.68,1.98,1.94,1.95
37.81,6.00,4.03,5.94,3.99,-3.99,-3.67,2.01,1.95,1.96
38.19,6.00,4.02,5.97,4.00,-4.00,-3.66,1.99,1.96,1.97
38.57,5.99,4.01,5.99,4.01,-4.01,-3.65,1.97,1.97,1.98
38.95,5.98,3.99,6.00,4.02,-4.02,-3.65,1.95,1.98,1.99
39.34,5.98,3.98,6.02,4.03,-4.03,-3.64,1.95,1.99,1.99
39.74,6.00,4.00,6.02,4.03,-4.03,-3.64,1.97,1.99,2.00
40.14,6.01,4.00,6.03,4.03,-4.03,-3.64,1.98,2.00,2.00
40.54,6.03,4.02,6.03,4.03,-4.03,-3.64,2.00,2.00,2.01
40.94,6.04,4.03,6.03,4.03,-4.03,-3.64,2.01,2.00,2.01
41.35,6.04,4.02,6.03,4.02,-4.02,-3.65,2.02,2.01,2.01
41.76,6.05,4.03,6.03,4.02,-4.02,-3.66,2.03,2.01,2.02
42.18,6.05,4.03,6.02,4.01,-4.01,-3.67,2.03,2.01,2.02
42.60,6.05,4.03,6.02,4.01,-4.01,-3.68,2.04,2.01,2.02
43.03,6.05,4.03,6.02,4.01,-4.01,-3.70,2.04,2.02,2.02
43.46,6.03,4.01,6.02,4.01,-4.01,-3.72,2.02,2.02,2.02
43.90,6.01,3.99,6.02,4.01,-4.01,-3.74,2.00,2.01,2.02
44.33,6.01,3.99,6.02,4.01,-4.01,-3.77,2.00,2.01,2.02
44.78,6.01,3.99,6.02,4.02,-4.02,-3.79,1.99,2.00,2.01
45.23,6.01,3.99,6.02,4.03,-4.03,-3.83,1.98,2.00,2.01
45.68,6.02,4.01,6.03,4.04,-4.04,-3.86,1.98,1.99,2.01
46.13,6.05,4.04,6.05,4.06,-4.06,-3.89,1.99,1.99,2.01
46.60,6.07,4.06,6.08,4.09,-4.09,-3.93,1.98,1.99,2.00
47.06,6.09,4.09,6.10,4.12,-4.12,-3.98,1.97,1.99,2.00
47.53,6.11,4.11,6.14,4.15,-4.15,-4.02,1.96,1.99,2.00
48.01,6.14,4.14,6.17,4.19,-4.19,-4.07,1.95,1.99,1.99
48.49,6.19,4.19,6.21,4.22,-4.22,-4.12,1.96,1.99,1.99
48.97,6.25,4.26,6.25,4.26,-4.26,-4.17,1.99,1.99,1.99
49.46,6.31,4.32,6.28,4.30,-4.30,-4.22,2.01,1.99,1.99
49.96,6.37,4.38,6.32,4.33,-4.33,-4.28,2.03,1.98,1.99
50.46,6.41,4.42,6.35,4.37,-4.37,-4.33,2.04,1.98,1.99
50.96,6.44,4.45,6.38,4.40,-4.40,-4.39,2.04,1.98,1.99
51.47,6.45,4.45,6.41,4.43,-4.43,-4.45,2.02,1.98,1.99
51.99,6.46,4.46,6.44,4.46,-4.46,-4.52,2.00,1.99,2.00
52.51,6.46,4.46,6.48,4.49,-4.49,-4.58,1.97,1.99,2.00
53.03,6.48,4.47,6.51,4.51,-4.51,-4.64,1.96,2.00,2.00
53.56,6.50,4.49,6.54,4.54,-4.54,-4.70,1.96,2.00,2.01
