frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
20.00,-6.56,-3.35,-6.59,-3.37,3.37,1.01,-3.19,-3.22,-3.21
20.20,-6.50,-3.30,-6.52,-3.31,3.31,1.03,-3.19,-3.21,-3.20
20.40,-6.44,-3.24,-6.46,-3.25,3.25,1.06,-3.19,-3.21,-3.20
20.61,-6.38,-3.19,-6.39,-3.19,3.19,1.09,-3.19,-3.20,-3.19
20.81,-6.35,-3.17,-6.33,-3.13,3.13,1.12,-3.22,-3.20,-3.19
21.02,-6.31,-3.13,-6.27,-3.08,3.08,1.15,-3.23,-3.19,-3.18
21.23,-6.25,-3.08,-6.21,-3.03,3.03,1.19,-3.23,-3.19,-3.18
21.44,-6.18,-3.01,-6.16,-2.98,2.98,1.22,-3.21,-3.18,-3.17
21.66,-6.11,-2.95,-6.10,-2.93,2.93,1.25,-3.19,-3.17,-3.17
21.87,-6.05,-2.89,-6.05,-2.88,2.88,1.29,-3.17,-3.17,-3.16
22.09,-5.99,-2.84,-6.00,-2.84,2.84,1.33,-3.16,-3.16,-3.15
22.31,-5.93,-2.78,-5.95,-2.79,2.79,1.36,-3.14,-3.16,-3.15
22.54,-5.88,-2.74,-5.90,-2.75,2.75,1.40,-3.14,-3.15,-3.14
22.76,-5.84,-2.71,-5.85,-2.71,2.71,1.44,-3.14,-3.14,-3.14
22.99,-5.80,-2.67,-5.80,-2.67,2.67,1.48,-3.13,-3.13,-3.13
23.22,-5.76,-2.64,-5.76,-2.63,2.63,1.52,-3.13,-3.13,-3.13
23.45,-5.72,-2.60,-5.72,-2.60,2.60,1.56,-3.12,-3.12,-3.12
23.69,-5.68,-2.57,-5.69,-2.57,2.57,1.60,-3.11,-3.11,-3.12
23.92,-5.64,-2.53,-5.66,-2.55,2.55,1.65,-3.10,-3.11,-3.11
24.16,-5.61,-2.50,-5.63,-2.52,2.52,1.69,-3.09,-3.11,-3.11
24.40,-5.59,-2.49,-5.61,-2.50,2.50,1.74,-3.09,-3.11,-3.10
24.65,-5.57,-2.47,-5.59,-2.48,2.48,1.78,-3.09,-3.10,-3.10
