frequency,raw,error,smoothed,error_smoothed,equalization,equalized_raw,equalized_smoothed,target
20.00,-5.80,-4.20,-5.78,-4.18,4.18,-1.62,-1.60,-1.60
20.20,-5.68,-4.08,-5.69,-4.09,4.09,-1.59,-1.60,-1.60
20.40,-5.57,-3.98,-5.61,-4.01,4.01,-1.56,-1.59,-1.59
20.61,-5.50,-3.91,-5.52,-3.93,3.93,-1.57,-1.59,-1.58
20.81,-5.44,-3.86,-5.44,-3.86,3.86,-1.58,-1.58,-1.58
21.02,-5.39,-3.81,-5.36,-3.78,3.78,-1.61,-1.58,-1.57
21.23,-5.31,-3.74,-5.28,-3.71,3.71,-1.60,-1.57,-1.57
21.44,-5.22,-3.65,-5.21,-3.64,3.64,-1.58,-1.57,-1.56
21.66,-5.15,-3.59,-5.13,-3.57,3.57,-1.58,-1.56,-1.56
21.87,-5.09,-3.53,-5.06,-3.51,3.51,-1.58,-1.56,-1.55
22.09,-5.01,-3.46,-4.99,-3.44,3.44,-1.57,-1.55,-1.55
22.31,-4.93,-3.39,-4.92,-3.38,3.38,-1.55,-1.55,-1.54
22.54,-4.85,-3.31,-4.86,-3.32,3.32,-1.53,-1.54,-1.53
22.76,-4.77,-3.24,-4.79,-3.26,3.26,-1.51,-1.54,-1.53
22.99,-4.73,-3.20,-4.73,-3.20,3.20,-1.53,-1.53,-1.52
23.22,-4.68,-3.16,-4.67,-3.15,3.15,-1.53,-1.52,-1.52
23.45,-4.61,-3.09,-4.61,-3.10,3.10,-1.51,-1.51,-1.51
23.69,-4.55,-3.04,-4.55,-3.05,3.05,-1.50,-1.51,-1.51
23.92,-4.49,-2.98,-4.50,-3.00,3.00,-1.48,-1.50,-1.50
24.16,-4.45,-2.95,-4.46,-2.96,2.96,-1.49,-1.50,-1.50
24.40,-4.41,-2.91,-4.42,-2.92,2.92,-1.48,-1.50,-1.49
24.65,-4.38,-2.89,-4.38,-2.89,2.89,-1.49,-1.49,-1.49
24.89,-4.34,-2.85,-4.34,-2.86,2.86,-1.48,-1.49,-1.48
25.14,-4.31,-2.83,-4.31,-2.82,2.82,-1.48,-1.48,-1.48
25.39,-4.27,-2.79,-4.28,-2.79,2.79,-1.47,-1.48,-1.47
25.65,-4.24,-2.77,-4.24,-2.77,2.77,-1.47,-1.47,-1.47
25.91,-4.21,-2.75,-4.20,-2.74,2.74,-1.47,-1.47,-1.46
26.16,-4.20,-2.74,-4.17,-2.71,2.71,-1.49,-1.46,-1.46
26.43,-4.18,-2.73,-4.13,-2.68,2.68,-1.50,-1.46,-1.45
26.69,-4.11,-2.66,-4.09,-2.64,2.64,-1.46,-1.45,-1.44
26.96,-4.05,-2.61,-4.06,-2.61,2.61,-1.44,-1.45,-1.44
