frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
20.00,-2.99,-2.36,-2.92,-2.27,2.27,0.44,-0.72,-0.65,-0.63
20.20,-2.88,-2.25,-2.85,-2.21,2.21,0.45,-0.67,-0.64,-0.63
20.40,-2.77,-2.15,-2.79,-2.15,2.15,0.46,-0.61,-0.63,-0.62
20.61,-2.70,-2.08,-2.72,-2.10,2.10,0.48,-0.60,-0.63,-0.61
20.81,-2.65,-2.04,-2.66,-2.04,2.04,0.49,-0.60,-0.62,-0.61
21.02,-2.61,-2.00,-2.60,-1.99,1.99,0.50,-0.62,-0.61,-0.60
21.23,-2.55,-1.95,-2.54,-1.94,1.94,0.51,-0.61,-0.61,-0.60
21.44,-2.44,-1.84,-2.48,-1.89,1.89,0.53,-0.55,-0.60,-0.59
21.66,-2.38,-1.79,-2.43,-1.84,1.84,0.54,-0.54,-0.59,-0.59
21.87,-2.34,-1.75,-2.37,-1.79,1.79,0.56,-0.55,-0.59,-0.58
22.09,-2.30,-1.72,-2.32,-1.74,1.74,0.57,-0.56,-0.58,-0.58
22.31,-2.27,-1.69,-2.27,-1.70,1.70,0.59,-0.57,-0.57,-0.57
22.54,-2.23,-1.66,-2.23,-1.66,1.66,0.60,-0.57,-0.57,-0.57
22.76,-2.19,-1.63,-2.19,-1.62,1.62,0.62,-0.57,-0.57,-0.56
22.99,-2.17,-1.61,-2.15,-1.58,1.58,0.63,-0.59,-0.57,-0.55
23.22,-2.14,-1.59,-2.10,-1.54,1.54,0.65,-0.60,-0.56,-0.55
23.45,-2.09,-1.54,-2.06,-1.50,1.50,0.67,-0.58,-0.55,-0.55
23.69,-2.04,-1.50,-2.01,-1.46,1.46,0.69,-0.58,-0.55,-0.54
23.92,-1.98,-1.44,-1.97,-1.42,1.42,0.70,-0.55,-0.55,-0.53
24.16,-1.92,-1.39,-1.92,-1.38,1.38,0.72,-0.54,-0.54,-0.53
24.40,-1.86,-1.33,-1.87,-1.34,1.34,0.74,-0.52,-0.53,-0.53
24.65,-1.82,-1.30,-1.82,-1.30,1.30,0.76,-0.52,-0.53,-0.52
24.89,-1.78,-1.26,-1.77,-1.25,1.25,0.77,-0.52,-0.52,-0.52
25.14,-1.72,-1.21,-1.72,-1.21,1.21,0.79,-0.51,-0.51,-0.51
25.39,-1.66,-1.15,-1.67,-1.17,1.17,0.81,-0.49,-0.50,-0.50
25.65,-1.61,-1.11,-1.62,-1.13,1.13,0.83,-0.48,-0.50,-0.50
25.91,-1.56,-1.06,-1.58,-1.08,1.08,0.85,-0.47,-0.49,-0.49
26.16,-1.53,-1.04,-1.53,-1.04,1.04,0.86,-0.48,-0.49,-0.49
26.43,-1.51,-1.03,-1.49,-1.00,1.00,0.88,-0.51,-0.48,-0.48
26.69,-1.46,-0.98,-1.44,-0.96,0.96,0.90,-0.50,-0.48,-0.48
26.96,-1.41,-0.94,-1.40,-0.92,0.92,0.92,-0.49,-0.48,-0.47
27.23,-1.36,-0.89,-1.35,-0.88,0.88,0.93,-0.48,-0.47,-0.46
27.50,-1.31,-0.85,-1.30,-0.84,0.84,0.95,-0.47,-0.46,-0.46
27.77,-1.27,-0.82,-1.26,-0.80,0.80,0.96,-0.47,-0.46,-0.45
28.05,-1.23,-0.78,-1.21,-0.76,0.76,0.97,-0.47,-0.46,-0.44
28.33,-1.19,-0.75,-1.17,-0.72,0.72,0.99,-0.47,-0.45,-0.44
28.62,-1.14,-0.70,-1.13,-0.68,0.68,1.00,-0.46,-0.45,-0.44
28.90,-1.10,-0.67,-1.09,-0.65,0.65,1.01,-0.45,-0.44,-0.43
29.19,-1.06,-0.63,-1.05,-0.62,0.62,1.02,-0.44,-0.43,-0.43
29.48,-1.01,-0.58,-1.02,-0.60,0.60,1.02,-0.41,-0.42,-0.43
29.78,-0.98,-0.55,-1.01,-0.58,0.58,1.03,-0.39,-0.42,-0.42
30.08,-0.95,-0.53,-1.00,-0.58,0.58,1.04,-0.37,-0.42,-0.42
30.38,-0.96,-0.54,-1.00,-0.57,0.57,1.04,-0.38,-0.42,-0.42
30.68,-0.97,-0.55,-1.00,-0.58,0.58,1.04,-0.39,-0.42,-0.42
30.99,-0.98,-0.56,-1.01,-0.59,0.59,1.04,-0.39,-0.42,-0.42
31.30,-1.00,-0.58,-1.03,-0.60,0.60,1.04,-0.39,-0.43,-0.42
31.61,-1.04,-0.62,-1.05,-0.62,0.62,1.04,-0.42,-0.43,-0.42
